age,annual_income,credit_score,online_visits_per_month,previous_purchases,days_since_last_purchase,marketing_emails_opened,purchased_premium_membership
30,82463,752,7,2,326,7,0
53,55455,525,7,5,212,8,0
51,66542,704,10,5,123,8,1
25,16621,763,14,4,185,10,0
61,39186,669,11,9,290,8,1
28,54712,719,6,6,155,8,1
59,40702,631,13,1,303,12,0
18,72859,672,10,4,256,7,0
59,95951,567,12,5,77,16,1
58,38821,516,13,4,336,9,0
58,44926,746,9,6,309,13,0
52,64238,611,14,6,219,8,0
42,89000,648,8,4,71,9,1
54,37997,583,3,1,83,5,0
32,64483,581,13,9,306,10,0
58,92783,668,13,10,7,8,1
46,30268,629,18,6,177,6,1
41,36941,706,14,5,226,4,1
44,52375,712,15,2,85,9,1
47,50629,702,9,6,315,13,0
19,74627,697,15,7,191,7,1
25,64350,790,11,4,25,5,1
30,28051,605,13,12,117,8,0
23,69277,676,9,7,145,11,0
40,49604,759,11,7,82,7,1
52,82940,769,9,6,343,9,0
52,48703,580,13,4,132,7,1
42,48541,658,11,4,183,5,1
62,69740,775,11,6,195,4,1
47,73733,716,10,6,81,11,1
22,68066,694,19,7,207,2,1
57,29659,665,11,4,129,7,0
47,69685,653,11,3,4,9,1
51,41382,700,12,4,149,8,0
47,64235,662,7,7,213,9,0
46,34373,677,7,3,43,8,0
22,68034,686,11,4,284,6,0
47,45481,633,9,6,241,8,1
59,36913,717,9,3,113,10,1
33,72849,850,11,5,216,5,1
49,64350,556,6,3,111,7,0
19,48948,703,10,2,236,11,0
36,86121,627,9,6,57,12,1
40,52068,720,19,4,223,4,1
69,60578,683,7,6,21,10,1
29,64840,733,9,7,7,4,1
32,48846,762,11,4,93,12,1
39,68480,693,18,7,64,9,1
69,50398,759,13,3,179,9,1
62,52591,516,8,6,61,8,0
19,84528,791,14,5,89,6,1
30,41269,706,8,1,36,7,0
60,16570,755,16,5,323,6,1
21,88997,595,14,4,268,12,1
62,105888,622,13,6,80,9,1
32,52705,690,13,6,44,8,1
65,25137,679,14,7,310,5,0
33,54411,700,9,7,244,3,0
40,54848,756,17,2,323,14,1
52,56581,556,12,6,65,6,1
24,39959,748,6,2,131,8,0
46,70432,681,9,10,44,7,1
44,69441,666,8,4,155,8,1
58,33101,577,11,1,60,11,1
69,72586,715,17,7,2,5,1
52,96948,511,15,5,186,9,0
39,63095,725,18,5,357,2,1
39,53928,576,10,1,235,11,0
39,57444,684,22,6,276,8,1
60,71075,672,13,5,296,6,1
34,28848,762,12,2,354,5,0
26,62959,667,10,1,47,11,1
35,52972,631,8,4,92,4,0
19,93261,645,14,2,225,8,0
23,56865,769,18,2,299,6,0
22,90022,718,14,5,282,6,1
58,40133,653,17,5,265,7,1
55,70571,663,9,4,114,5,1
54,65749,570,13,8,133,11,1
42,44357,707,9,6,30,11,1
55,63193,557,12,1,115,10,0
26,81825,733,13,3,57,6,1
64,54172,689,16,2,342,7,0
44,29545,847,12,0,34,6,1
66,59684,603,12,5,133,7,1
25,43756,673,7,4,323,12,0
43,53838,806,13,3,348,3,0
54,58531,763,15,10,138,10,1
43,29298,631,15,3,170,12,1
41,30918,696,7,0,191,4,0
26,68677,680,15,9,300,6,1
37,50591,700,14,8,280,7,1
30,15000,631,6,2,191,6,0
33,74127,674,9,7,136,5,1
53,64903,568,15,4,136,3,0
50,47150,689,13,3,237,13,1
49,36297,712,8,6,305,3,0
36,75045,664,16,3,28,7,1
67,66288,567,11,4,280,9,1
22,102887,749,5,4,176,5,0
35,67563,706,14,4,53,9,1
24,66979,629,13,4,36,7,1
35,56995,660,18,6,123,6,1
68,74702,575,11,6,91,8,1
37,71252,608,7,5,38,14,1
65,82531,642,15,7,107,5,1
43,50616,766,12,4,304,7,1
54,52163,635,8,4,262,9,0
41,51376,725,9,2,77,5,0
31,74234,642,11,3,246,6,0
57,86971,697,17,2,165,9,1
68,51741,670,11,4,272,7,0
31,52354,741,8,6,91,10,0
58,65653,643,11,11,23,6,1
31,55576,570,17,4,114,8,1
55,77137,583,13,7,362,8,1
59,19468,643,9,7,203,7,0
41,45119,593,7,5,20,9,1
56,45917,709,10,7,356,7,0
32,18234,647,11,7,301,8,0
22,42655,846,21,10,198,9,1
23,43527,558,4,7,270,14,0
41,56380,694,11,4,68,8,1
64,80033,601,15,6,216,7,1
24,55589,645,14,5,333,5,0
41,41445,690,14,6,160,8,1
54,58975,517,19,4,15,11,1
28,78885,697,9,5,276,5,0
55,42433,813,14,3,266,6,0
33,43610,648,13,6,270,8,0
60,70054,698,14,2,237,8,1
48,56012,752,9,5,50,14,1
46,71655,669,10,5,42,4,1
27,59754,639,11,1,289,5,0
42,72630,521,8,4,312,4,0
62,41369,725,7,5,29,5,1
19,59782,672,19,7,212,5,0
57,56208,609,17,7,183,8,1
43,38114,689,11,9,128,7,0
55,31857,639,13,10,235,10,0
52,72343,643,8,3,333,15,0
40,53683,722,13,9,300,9,1
34,41599,586,7,6,56,9,0
50,58269,753,10,8,169,11,1
25,80304,582,21,2,341,7,1
48,18947,634,14,5,87,7,1
22,33061,815,14,5,311,8,0
51,43388,759,8,3,179,6,0
50,86301,687,14,3,190,13,0
22,65087,614,10,5,92,4,1
57,73812,643,9,3,335,13,1
39,39477,685,8,8,193,8,0
58,39848,683,6,6,210,10,1
20,68061,674,16,4,169,10,1
27,61049,678,10,3,33,11,1
43,69877,665,14,10,285,10,1
27,56622,579,11,9,120,8,1
35,65007,644,6,2,88,4,0
52,62846,744,18,9,285,12,1
25,74000,584,11,3,73,14,1
53,74526,667,5,2,249,5,0
23,30842,623,6,4,173,13,0
27,19549,688,14,2,292,10,0
48,78031,653,13,4,19,13,1
59,81379,783,15,5,282,4,1
26,41629,715,10,1,84,7,1
33,26523,588,14,6,317,14,0
66,61783,727,15,7,129,10,1
69,76755,626,8,2,3,13,1
48,92357,640,12,3,178,11,1
41,69293,702,7,3,20,7,0
36,53309,646,7,9,99,12,1
49,43924,742,10,7,261,8,1
48,60206,626,10,6,205,4,0
33,54613,637,10,3,258,7,0
19,41729,634,13,9,320,10,0
25,96878,640,12,5,171,9,0
67,92133,757,12,4,198,6,1
39,80449,724,15,5,22,16,1
43,43425,800,10,4,105,13,1
42,75390,839,4,9,264,14,1
58,71513,608,14,4,23,10,1
21,67966,685,12,7,131,10,1
22,82494,598,9,4,50,15,1
32,71437,626,13,3,313,6,0
43,73320,636,14,2,205,6,1
52,71464,606,16,3,235,8,1
43,66134,606,12,5,249,9,0
40,27895,670,7,3,82,4,0
66,61505,595,6,9,19,4,0
26,49989,739,13,7,145,6,1
47,36963,616,11,4,68,9,0
46,90273,850,11,8,118,14,1
42,91122,648,14,6,117,7,1
59,84466,685,12,9,285,9,1
31,64594,589,12,3,117,10,1
67,84311,799,10,4,56,10,1
35,60217,758,4,5,349,8,0
46,63650,701,19,3,18,3,1
45,40318,586,13,6,75,8,0
62,67146,695,7,7,127,6,1
40,61087,601,10,3,23,8,1
32,36552,782,11,6,328,13,1
19,59078,737,15,3,129,9,0
36,58565,687,16,3,285,5,0
60,92356,509,16,4,49,8,1
18,76096,611,9,6,190,11,0
64,60206,728,9,2,47,1,0
46,64478,765,10,2,85,11,0
25,60796,758,17,9,149,7,1
33,56348,569,12,2,315,7,0
46,40516,701,16,3,112,11,1
34,57281,751,7,9,275,10,1
23,46570,564,13,10,34,7,0
52,37494,679,11,6,92,6,1
52,69202,699,7,7,220,10,1
24,67043,659,10,5,171,13,1
32,27839,550,10,10,183,13,0
30,57792,657,12,6,247,10,1
52,77923,657,14,5,29,6,1
55,79066,670,10,3,254,11,1
55,78465,641,13,7,315,3,1
66,60700,649,10,8,279,7,0
57,44789,677,14,3,104,12,1
34,40493,711,11,2,128,5,0
23,66203,659,8,13,350,10,0
49,66827,651,11,2,288,15,0
65,83172,686,18,3,340,5,0
68,79800,546,20,4,333,7,1
29,57620,713,13,4,159,11,0
30,37604,680,14,4,48,12,1
19,54256,683,19,2,84,9,1
25,63910,747,9,2,108,9,0
46,56363,543,18,5,304,5,0
46,49598,542,7,3,101,7,0
37,64552,699,14,7,132,14,1
34,50929,680,16,4,310,9,0
61,48695,692,17,3,60,4,1
41,65606,648,16,1,242,7,0
60,52764,727,9,5,201,7,1
68,64394,745,7,6,359,9,0
34,64918,714,7,7,179,15,1
28,39490,662,5,5,190,8,0
67,51338,532,9,7,310,6,0
51,85880,734,15,1,361,8,1
33,39083,766,10,3,266,6,0
50,21900,725,11,3,255,14,0
44,26487,618,12,8,319,6,0
65,60524,727,16,4,357,4,0
31,60557,740,9,8,268,4,0
69,57883,789,13,5,107,9,1
66,81855,619,10,5,234,11,1
27,15000,664,13,6,86,4,0
26,67127,732,8,9,183,4,1
45,88106,684,10,7,162,10,1
20,39700,602,10,2,360,6,0
33,53163,709,15,4,202,2,0
40,46448,721,13,5,350,12,0
68,43902,686,17,3,295,10,1
69,54127,695,15,4,309,6,0
25,85695,662,15,6,62,8,1
64,93073,783,10,4,283,6,1
22,53953,617,15,4,92,9,1
56,94291,639,10,7,211,8,1
61,60640,681,11,4,177,5,1
64,91566,742,11,4,95,6,1
29,58321,575,11,2,359,10,0
64,62359,588,13,4,319,6,1
24,66579,537,13,8,210,14,0
44,117219,682,15,10,4,11,1
42,75323,602,15,5,67,8,1
34,47269,653,12,4,83,7,1
19,77442,726,13,4,354,9,1
58,53487,635,15,3,147,13,1
35,51184,696,16,7,18,4,1
52,76355,659,13,5,214,8,1
39,60560,727,13,5,346,16,1
37,65014,713,13,7,205,6,1
64,60252,632,15,5,162,9,1
22,66058,668,8,3,64,9,0
56,67649,753,15,6,320,12,1
56,25135,708,17,2,39,10,1
37,71998,582,11,7,340,7,0
31,42324,726,11,7,81,8,1
18,34039,604,8,5,51,8,0
66,58949,779,12,5,127,7,1
67,61512,752,8,1,2,8,0
30,47517,700,15,6,6,7,0
19,74959,691,13,6,68,8,1
24,35841,665,10,9,253,8,0
21,52675,727,12,4,297,6,0
61,49472,654,9,3,91,7,1
64,59161,696,12,3,235,9,0
25,65020,741,12,2,128,9,1
56,41858,641,12,8,158,9,0
27,73037,637,15,4,122,10,1
37,61134,596,18,6,325,11,1
49,25945,605,12,6,187,5,0
55,24745,552,12,2,185,6,0
63,59778,731,12,5,313,3,1
20,56023,807,10,5,240,7,0
28,58138,780,8,3,55,10,1
32,59496,566,11,5,69,8,0
34,64060,731,11,6,125,5,1
69,77058,780,9,7,36,10,1
58,40000,648,6,5,252,6,0
34,38905,687,15,4,181,6,1
68,40320,539,15,6,17,5,1
43,65201,699,12,8,146,5,1
44,82409,606,10,1,303,9,0
40,52236,694,10,4,331,6,0
25,15000,571,6,5,351,13,0
66,29328,718,11,8,336,6,0
18,45005,752,7,5,222,8,0
27,49961,625,9,4,338,7,0
29,52649,600,9,3,349,10,0
32,60694,529,10,5,232,8,1
24,54389,661,17,2,151,4,1
18,78888,639,14,4,352,5,0
53,47832,571,8,6,152,10,0
68,44478,712,21,3,61,12,1
24,68620,649,9,1,39,9,0
33,32358,605,16,6,207,7,0
44,67014,641,14,6,13,8,1
66,61846,755,8,7,44,5,1
54,57346,722,21,1,89,5,1
57,88589,671,11,3,193,9,0
48,48800,723,9,5,175,10,1
39,97085,599,12,5,187,7,1
28,55942,682,8,12,185,6,1
62,37014,690,15,8,362,10,0
59,61259,647,11,7,80,7,1
19,40628,710,16,3,173,13,1
55,46468,625,9,3,224,9,0
22,67147,716,9,6,100,2,1
56,70000,719,6,4,66,9,0
60,48801,476,11,5,17,6,0
24,77773,763,5,6,119,3,0
40,80835,467,14,6,93,4,0
24,85853,637,11,8,72,6,1
47,69529,752,7,6,99,7,1
66,84542,658,13,7,254,6,1
22,26146,577,13,5,302,7,0
38,54278,603,10,4,189,11,0
68,44394,752,17,4,25,4,1
33,62146,545,13,6,268,10,1
24,49714,759,8,6,56,14,1
43,57009,676,12,5,21,7,0
44,93879,597,6,4,207,7,0
52,56945,639,20,3,155,8,1
34,67448,609,11,6,114,7,1
67,55819,741,13,4,352,6,1
45,61363,731,12,9,34,11,1
32,60108,560,11,5,20,14,0
67,68070,652,4,5,214,8,0
66,80976,620,11,1,153,9,1
43,89653,771,9,5,292,7,1
19,65573,585,14,4,15,4,1
49,70612,792,8,6,153,4,1
46,39284,678,14,8,54,6,1
25,58418,599,12,6,15,6,1
50,76925,633,12,4,169,10,1
61,75587,624,11,4,268,9,1
23,63809,591,9,5,58,9,0
55,75955,687,17,7,307,11,1
25,68834,594,13,5,189,8,0
56,81606,527,23,6,175,7,1
39,65208,653,14,5,336,14,0
18,53597,554,11,4,120,7,0
68,66045,627,12,6,73,10,1
26,15000,616,14,6,287,8,0
48,66892,619,17,4,40,7,1
27,15000,820,8,3,318,6,0
66,28978,684,12,2,301,9,0
56,68132,697,15,7,356,4,1
59,68596,556,10,3,168,10,0
40,39076,634,10,6,227,3,0
42,47182,695,9,4,322,9,1
50,84670,608,15,8,48,5,1
58,51287,744,10,8,112,10,1
62,100373,596,12,5,172,8,1
18,59965,660,6,5,229,8,0
52,67345,639,21,0,248,6,0
23,89104,692,9,4,337,6,0
32,62358,635,7,4,179,8,0
61,41958,661,14,6,63,9,1
31,58025,663,10,7,70,3,0
59,59359,629,8,4,292,16,0
42,35435,714,14,5,168,7,1
30,55395,697,15,4,230,16,1
35,46641,674,9,3,205,8,0
45,76638,650,9,14,296,3,1
57,60623,736,8,5,80,5,1
49,54910,663,8,3,63,8,0
66,58089,659,15,4,268,5,0
63,64016,687,7,10,159,9,1
57,71103,799,5,5,297,10,1
49,42005,586,11,5,47,8,1
33,41251,734,10,7,99,8,0
39,79884,547,13,5,350,9,0
24,52578,695,12,9,308,6,0
37,34497,790,13,10,23,10,1
66,67989,714,13,5,298,4,1
40,68341,692,12,4,24,7,1
23,32447,641,11,3,44,10,0
51,64131,682,10,5,327,6,1
68,73240,662,13,5,46,9,1
63,66739,625,12,2,110,7,1
32,71376,660,14,4,50,3,1
41,34723,694,10,5,218,14,1
45,65959,626,9,3,21,8,1
30,54553,624,11,7,105,6,0
31,51310,585,9,8,119,7,1
30,75670,707,11,10,237,4,1
69,86627,718,6,4,181,9,1
56,92299,696,10,4,71,8,1
61,83667,748,9,4,170,11,1
60,58025,686,12,8,168,7,1
67,66349,707,9,4,129,11,1
23,73803,701,11,8,195,13,0
63,62181,674,20,6,119,6,1
21,62354,643,11,3,122,9,1
42,74828,835,9,8,286,5,1
48,58933,648,14,6,92,7,1
36,46873,633,13,2,120,10,1
25,52539,710,11,5,52,5,1
27,71410,698,8,6,255,8,1
60,60054,582,12,8,258,7,1
34,66124,759,17,5,247,10,1
34,72061,673,16,6,62,11,1
66,53253,602,12,5,165,14,1
25,73612,763,11,3,107,3,1
65,66819,724,10,3,278,11,1
65,37773,591,12,8,123,6,1
49,85961,804,11,7,152,10,1
26,50987,726,16,5,166,6,0
26,30208,679,18,7,277,12,1
32,41189,791,13,3,256,11,0
48,41621,691,16,6,299,9,1
25,60939,678,18,4,156,7,1
41,55071,634,13,6,299,7,0
24,53937,721,9,6,318,8,0
46,71155,713,14,6,191,2,0
19,66118,681,6,2,248,9,0
54,65689,625,8,7,332,10,1
20,67377,689,13,3,306,8,0
28,71090,675,17,5,101,9,1
27,22057,587,10,6,261,7,0
61,53440,577,14,1,163,4,0
20,20756,720,19,7,55,10,1
40,60649,498,11,5,136,8,0
48,59917,694,9,5,356,5,0
44,78820,647,6,6,349,12,1
53,81377,772,8,5,287,5,0
59,63650,645,8,5,361,2,0
38,50994,726,8,5,209,3,0
61,68733,652,9,10,276,10,1
34,50497,688,7,7,61,11,1
69,59975,732,14,5,109,7,1
44,77750,648,11,7,63,13,1
56,49960,750,9,2,342,10,0
63,74502,610,6,5,224,9,0
59,72193,701,11,6,340,5,0
62,42814,745,10,3,152,8,1
45,77530,726,11,4,147,7,0
20,72574,814,8,6,247,10,1
43,61835,627,10,9,207,13,1
27,46278,583,9,3,136,9,0
64,44534,610,8,4,116,9,0
30,50322,726,8,2,187,10,0
29,69767,715,13,8,28,3,1
30,42799,687,12,8,69,6,0
51,67875,601,11,2,16,11,1
47,37648,734,14,7,57,10,1
67,56327,594,8,7,73,10,1
39,61974,761,17,5,28,7,1
32,104012,850,19,6,21,12,1
20,35208,706,14,4,299,6,0
18,86496,721,17,3,67,9,1
37,62697,645,10,1,203,8,1
66,67401,553,12,11,36,6,1
45,62130,638,11,5,345,6,1
64,68005,603,16,6,87,7,1
23,57234,579,16,8,273,7,0
22,86173,801,15,4,234,10,1
61,51784,699,18,1,280,5,0
23,80380,707,9,5,230,9,0
20,48401,658,9,4,186,10,0
39,58915,668,14,6,282,15,1
66,40705,748,11,6,297,10,1
53,68190,678,16,4,139,6,1
23,86012,717,20,4,343,8,1
61,58608,666,14,6,360,7,1
61,56456,656,13,6,263,7,1
59,39937,582,15,4,339,8,0
64,55873,542,8,2,39,7,0
30,31330,662,14,3,197,6,1
68,43568,684,8,5,237,5,0
34,64082,590,11,5,338,8,0
59,83742,678,13,7,44,5,1
48,110566,684,11,6,294,6,1
58,49441,529,9,7,29,10,1
50,85835,616,10,5,131,6,0
51,64388,709,18,2,253,4,1
50,57278,707,13,3,106,8,0
58,67787,599,8,3,304,10,0
56,61114,691,8,2,339,13,0
24,61987,752,10,4,58,9,0
60,52650,734,13,2,94,11,1
45,34834,673,17,3,27,8,1
34,32215,647,14,2,259,4,0
44,71758,636,10,1,323,8,0
68,55019,713,12,2,219,12,1
62,49270,694,12,8,49,7,1
61,60153,724,9,5,64,8,1
42,74309,689,16,5,13,6,1
58,63247,737,8,8,179,8,1
38,48191,687,12,5,263,8,0
53,82073,735,13,3,55,11,1
51,88425,741,12,4,309,10,1
30,68902,624,16,5,92,8,1
31,77526,553,15,8,188,6,0
21,82355,788,12,5,244,10,1
25,80342,698,11,10,197,8,1
40,71054,560,9,3,174,6,0
42,70770,630,14,3,123,5,1
26,69354,734,11,6,157,3,0
39,40248,660,12,11,87,9,1
49,72613,644,12,6,108,5,0
30,35595,778,6,4,275,12,0
35,45697,607,9,5,322,8,0
37,83464,624,10,8,310,7,0
44,75124,695,11,3,121,7,1
37,86773,707,9,5,117,6,1
56,55110,715,11,4,22,4,0
35,39260,744,10,4,100,11,1
40,55672,694,13,3,214,5,0
37,61837,714,17,7,98,16,1
27,61422,662,7,2,267,8,0
53,80406,684,15,3,19,5,1
30,53497,688,7,5,150,12,0
33,66337,695,12,3,103,5,1
59,42205,734,14,6,180,8,1
67,68106,719,16,6,10,6,1
52,60056,683,12,6,153,6,1
65,46503,623,17,1,287,9,1
62,55755,685,7,7,312,8,1
43,56685,678,15,5,94,8,1
58,55137,694,13,3,157,11,1
35,91884,834,15,2,252,5,1
41,58228,643,5,5,169,10,1
45,55610,710,9,6,198,8,1
67,22246,755,10,1,125,8,0
62,43904,687,7,6,305,6,0
43,55265,844,8,7,230,10,1
51,47655,654,14,2,350,10,1
28,84871,703,8,11,284,6,1
59,57031,624,17,4,134,5,0
46,83192,655,8,9,120,9,1
45,61111,697,15,1,33,8,1
57,60670,739,8,3,227,9,0
50,58402,702,17,10,273,8,1
21,60068,768,16,7,129,6,1
32,90938,673,12,5,8,6,1
27,18247,657,15,4,301,9,0
56,23972,850,8,2,82,15,0
19,50223,708,12,3,212,10,0
28,60262,630,6,6,20,6,0
49,72422,631,17,8,23,6,1
54,68516,614,12,6,327,7,1
44,53084,746,12,5,245,12,1
62,78343,654,16,3,2,7,1
65,78544,689,4,3,37,11,0
24,63313,676,16,1,180,8,1
67,77328,731,14,6,248,9,1
49,64908,621,10,4,155,9,0
51,49893,605,13,8,318,9,0
22,72561,696,5,7,238,11,0
50,61991,722,13,9,224,7,1
55,60024,703,11,5,106,9,1
48,86513,623,13,3,249,7,1
22,15884,727,14,5,319,8,0
45,34482,628,10,4,18,4,0
66,38633,643,7,3,268,10,0
55,53461,614,13,7,321,12,0
25,55417,771,15,6,158,10,1
67,32868,724,16,3,279,7,1
67,42267,722,11,3,131,10,0
26,44505,767,12,6,71,7,1
59,104234,850,5,7,297,6,1
39,92431,560,12,6,114,11,1
48,52589,628,18,3,276,5,1
41,53456,637,19,5,115,3,1
58,39314,620,12,7,146,9,1
69,25654,605,6,1,250,10,0
59,57896,659,16,9,125,13,1
66,42039,595,7,7,295,12,0
67,58473,703,9,5,15,8,1
22,31196,684,17,3,5,5,1
31,46284,714,16,5,30,12,1
55,62675,716,10,6,94,11,1
48,66592,722,15,6,20,13,1
20,67514,654,12,7,139,4,1
22,36231,828,7,6,9,7,0
45,75384,696,13,7,276,9,1
50,45596,550,11,4,56,7,0
26,71391,610,7,4,354,12,0
26,59809,558,8,3,312,4,0
24,35225,681,8,4,253,9,0
47,54308,671,10,7,291,7,0
18,66577,647,12,6,283,7,0
47,71033,821,18,5,308,12,1
42,57462,718,8,2,203,13,0
42,87572,731,13,3,228,7,1
53,78135,615,15,7,171,9,1
45,55380,610,14,0,228,9,0
55,73502,683,11,7,139,8,0
57,94808,692,15,9,46,5,1
65,95289,550,15,6,339,8,1
59,37896,667,9,8,255,11,0
44,43322,681,11,4,257,12,1
43,86729,665,8,8,102,10,1
30,40951,623,8,10,281,10,1
49,36194,642,15,6,190,8,0
25,51249,668,12,7,28,6,0
66,67564,686,8,5,348,4,1
61,58157,722,9,5,362,4,0
24,48290,756,11,7,317,10,0
58,47864,659,7,7,173,3,1
24,47178,648,17,5,85,10,1
55,44169,711,11,6,5,7,1
22,101069,723,13,4,269,8,0
43,65355,650,9,4,325,11,0
52,75962,735,10,4,38,6,1
55,51197,749,10,1,250,7,0
39,56653,770,18,10,10,9,1
65,47156,804,11,9,283,8,1
58,15000,619,12,2,11,9,0
28,35196,681,14,7,356,3,1
52,27409,681,10,3,62,7,0
55,19504,673,13,7,146,7,0
35,38484,635,16,4,253,10,0
56,83849,576,11,4,309,9,1
64,59200,686,22,9,133,2,1
60,83230,626,8,7,357,5,0
57,67398,686,9,5,6,6,1
50,74086,624,14,3,172,7,1
32,43784,603,9,6,360,7,0
59,69431,696,22,5,100,8,1
36,73117,691,13,5,195,8,1
45,49620,721,10,3,162,9,0
34,70072,833,7,2,144,5,0
34,70191,699,12,7,280,8,0
26,50108,714,7,6,189,10,0
67,39790,605,10,6,260,6,0
25,38686,590,12,9,190,10,1
22,61557,791,15,2,364,9,1
66,65886,615,11,3,172,12,0
46,45735,607,12,11,290,9,1
40,60479,677,11,2,224,5,0
56,70270,674,10,7,292,11,1
37,71127,617,12,7,323,12,1
24,87934,659,7,5,83,7,0
55,82986,766,10,6,110,8,1
27,41977,624,10,10,110,12,0
46,90305,582,9,5,178,10,1
67,50442,746,11,3,180,5,1
66,78808,714,16,4,2,10,1
36,61224,637,13,3,326,6,0
58,52581,569,14,4,313,2,0
49,27461,628,12,3,219,5,0
42,56912,676,10,7,112,6,1
25,31931,762,12,2,301,12,0
37,77411,607,16,4,99,6,1
51,87302,674,10,7,112,7,0
69,45656,727,12,6,364,10,1
18,65435,513,9,2,337,8,0
55,46943,752,10,11,213,10,1
62,48687,597,14,3,62,13,1
67,73941,703,14,5,45,7,1
40,59306,697,14,4,351,5,0
24,91314,756,9,4,97,9,1
32,51320,719,16,6,249,10,1
62,77988,514,14,6,129,7,1
63,61753,625,13,4,181,10,1
51,74324,690,17,3,359,6,0
24,51951,666,10,2,216,4,0
24,59108,713,6,1,157,8,0
42,57921,735,6,2,152,6,0
48,44951,723,15,6,84,5,0
19,71917,665,18,5,203,11,1
53,71704,551,17,2,208,3,1
46,70684,648,12,0,35,5,0
18,87665,709,9,7,148,8,1
22,86088,604,8,9,235,6,0
41,53251,724,11,6,21,5,1
55,66715,744,14,6,356,12,1
60,48775,689,10,4,314,13,0
40,60420,466,9,5,232,6,0
33,49205,591,10,3,6,8,0
68,89161,812,12,1,189,14,1
41,66547,642,10,3,328,5,0
34,56075,541,12,7,9,5,1
41,81485,766,12,3,289,9,1
18,20929,681,19,5,306,11,0
33,23746,757,17,3,28,7,0
44,74325,699,13,8,84,7,1
65,61088,712,10,8,264,5,1
56,64508,705,9,6,332,10,0
58,36125,729,11,4,281,9,1
46,59582,839,9,1,192,10,1
23,96063,748,5,5,220,6,0
38,74836,569,14,5,191,9,0
69,63055,711,9,7,211,4,0
20,52097,760,9,3,281,6,0
63,52898,764,12,1,19,0,0
53,21674,650,15,7,77,7,0
32,64638,762,7,5,22,8,0
58,75219,745,7,1,290,9,0
61,31639,850,8,4,265,8,0
