spending_score,engagement_score,purchases_last_year,days_since_last_purchase,premium_customer
58.2,50.1,7,1,1
59.0,35.0,10,105,1
79.5,45.3,3,44,1
70.0,46.3,3,92,1
61.4,44.6,3,137,0
81.3,85.4,7,32,1
33.6,48.0,8,128,1
43.5,45.1,7,54,1
38.3,8.1,5,60,0
48.0,32.1,3,104,0
30.2,44.7,8,112,1
66.4,36.3,4,118,0
51.0,77.6,5,35,1
28.5,46.7,2,104,0
36.7,75.8,2,48,1
60.6,51.2,3,50,1
70.1,50.7,3,170,0
90.9,48.2,2,19,1
100.0,50.1,3,74,1
62.5,84.4,6,79,1
37.2,3.6,6,44,0
16.6,10.0,6,141,0
59.8,39.1,4,88,0
40.4,50.3,4,129,0
47.5,63.8,2,70,0
44.0,59.5,7,161,1
52.5,42.3,5,131,0
74.2,70.4,2,60,1
57.8,70.6,4,173,0
52.1,53.7,7,155,1
36.4,69.3,2,106,0
24.9,55.5,6,3,1
46.2,38.8,4,106,0
54.0,64.0,8,124,1
86.8,52.2,5,66,1
57.3,50.0,3,26,0
72.7,79.5,8,102,1
46.0,1.0,6,144,0
33.7,21.6,3,58,1
37.6,26.3,8,82,1
41.9,42.7,5,1,0
93.3,44.9,4,126,0
40.2,19.9,3,156,0
70.1,30.3,4,139,0
38.7,32.8,8,77,1
71.8,99.1,6,9,1
61.9,86.0,4,89,1
52.2,41.8,5,169,0
54.3,42.7,5,15,1
43.2,27.0,9,39,1
63.0,11.8,5,150,0
46.8,47.7,8,102,1
32.9,30.0,3,31,0
32.0,48.3,8,5,1
58.1,18.0,7,74,0
83.4,34.8,4,107,1
57.9,53.0,3,151,1
52.9,57.3,6,159,1
60.1,58.3,4,82,0
78.5,23.6,5,76,1
58.9,67.1,6,167,0
47.6,34.0,3,140,0
74.9,62.7,2,38,1
62.7,49.8,8,122,1
82.6,22.5,4,129,1
58.3,43.7,5,42,0
33.0,57.3,0,176,0
30.4,62.3,5,54,1
84.7,47.2,4,99,0
86.0,80.6,1,89,1
51.8,70.2,5,124,1
48.1,44.9,8,162,0
81.3,65.0,2,71,1
35.1,88.7,6,69,1
38.9,89.2,1,135,1
66.6,25.4,5,171,0
47.9,31.5,6,163,0
54.9,79.7,3,135,1
52.1,28.8,7,126,1
61.1,23.5,7,138,0
80.3,40.3,2,168,0
56.6,58.4,4,2,1
66.6,48.0,2,106,0
18.1,37.0,4,7,1
54.1,36.5,9,104,1
39.8,35.8,3,71,0
33.1,32.4,2,55,0
39.2,95.6,4,160,1
49.0,56.0,8,128,0
71.5,67.7,3,102,1
31.1,40.2,3,158,0
55.6,46.3,2,18,0
46.3,35.7,5,116,0
49.1,0.0,2,28,0
73.0,22.4,1,42,0
64.7,13.8,8,34,0
79.1,5.0,3,98,0
52.2,26.1,6,113,0
42.5,76.5,4,136,1
51.0,49.1,4,79,0
59.4,75.8,1,169,0
58.2,58.2,7,67,1
35.5,65.7,6,29,1
56.6,32.0,3,7,0
59.1,60.5,4,23,1
100.0,64.6,9,80,1
88.8,38.5,6,74,1
39.6,61.2,3,153,0
49.8,61.3,8,23,1
28.7,39.0,4,47,1
44.4,27.5,3,176,0
60.7,26.3,6,6,1
76.7,51.7,3,76,1
41.9,56.5,7,36,1
43.2,34.1,3,96,0
16.3,50.5,3,175,0
52.1,61.4,8,41,1
35.9,62.4,0,67,0
45.5,81.0,5,81,1
39.2,75.5,3,143,1
53.3,30.0,7,177,0
23.4,83.7,9,18,1
28.6,39.4,9,88,1
93.3,70.9,0,135,1
31.8,51.4,8,2,1
35.3,41.8,1,145,1
88.1,13.8,13,44,1
100.0,46.6,5,93,1
33.9,18.8,4,176,0
48.4,69.3,3,114,0
61.1,80.3,5,178,0
86.1,34.1,5,109,0
37.2,56.0,6,38,0
50.6,35.5,7,124,0
69.0,37.4,10,111,1
62.8,65.5,4,56,0
48.2,49.2,4,14,1
52.6,84.8,9,117,1
30.3,40.4,4,104,0
50.7,70.0,7,139,0
50.2,51.9,2,23,0
59.2,65.9,3,97,0
45.0,41.1,7,147,1
63.5,49.0,8,160,0
73.2,47.7,5,169,0
57.8,33.3,4,38,0
61.3,63.2,3,31,1
56.0,63.0,3,104,0
55.0,61.9,5,83,0
42.0,80.7,3,42,0
60.7,79.0,3,19,1
53.2,42.5,6,26,0
92.7,57.5,4,61,1
83.3,37.5,6,133,1
61.9,50.5,2,12,1
41.3,38.0,3,19,1
35.0,82.4,4,48,1
76.4,57.3,5,157,1
59.7,45.6,1,178,0
63.6,73.9,5,79,1
23.6,6.6,8,8,1
71.7,9.7,13,3,1
63.2,65.9,8,154,1
35.0,51.2,6,80,0
46.5,55.0,4,14,1
59.7,23.5,3,150,1
55.9,49.5,6,95,1
49.7,90.1,4,63,1
53.1,66.5,12,81,1
50.5,53.4,6,41,0
57.7,41.2,5,167,0
81.5,42.1,2,142,1
8.8,7.4,6,36,1
50.7,55.2,3,132,0
58.2,66.9,6,33,1
60.3,18.5,3,82,1
48.3,36.8,7,135,0
23.4,26.9,7,7,1
60.9,30.7,5,130,0
86.1,51.1,10,41,1
27.4,8.3,4,126,0
70.5,62.3,5,90,1
49.1,65.1,3,5,1
53.9,45.0,6,137,0
36.0,0.4,2,47,0
49.0,30.1,2,171,0
78.4,74.7,3,151,1
65.5,0.0,8,35,0
86.2,43.0,6,108,1
76.2,26.4,3,65,1
62.9,66.1,10,108,1
86.4,36.5,7,100,1
62.9,58.1,6,53,0
69.9,61.3,6,117,0
49.7,86.7,5,47,1
56.2,45.9,2,163,0
42.4,57.5,4,170,0
72.8,20.3,6,30,0
33.8,73.8,6,131,0
69.1,34.8,3,167,0
51.6,38.8,3,23,0
76.1,49.6,4,133,0
68.5,18.7,2,168,0
87.8,54.6,5,41,1
68.2,69.3,2,105,0
26.7,55.9,6,143,1
53.8,18.2,1,60,1
33.9,47.5,3,43,1
45.7,64.8,5,72,0
82.2,12.4,4,61,1
66.5,28.5,3,130,0
42.4,67.5,3,67,0
36.8,55.4,6,68,1
55.6,58.2,8,170,1
33.1,87.2,7,104,1
42.9,59.4,5,167,0
60.6,63.2,11,128,1
75.8,100.0,4,159,0
66.0,45.7,6,35,0
13.8,34.0,1,168,0
60.5,58.6,5,170,0
56.3,58.8,7,8,1
62.5,39.5,4,64,0
84.1,29.4,6,74,1
17.9,96.2,6,76,1
44.4,56.5,8,140,1
65.6,35.4,8,126,0
26.5,68.3,9,39,1
81.6,47.8,6,109,1
61.6,44.9,3,175,0
70.2,61.2,6,79,1
44.7,24.2,1,167,0
69.6,57.1,3,117,1
74.2,88.3,6,166,0
59.2,59.3,9,162,1
59.2,42.5,9,3,0
59.9,39.9,2,144,0
39.5,41.8,5,34,0
52.3,44.9,3,148,1
52.3,42.4,5,145,0
61.9,68.3,2,47,0
73.0,15.3,4,12,0
35.9,67.2,3,76,1
52.7,42.4,3,55,0
81.7,57.5,4,100,1
41.6,27.5,4,15,0
40.2,76.6,3,8,1
58.6,74.9,9,79,1
70.2,69.2,2,138,1
55.2,19.7,4,57,1
78.9,66.6,2,58,1
70.4,58.1,9,30,1
70.2,17.9,8,51,0
65.0,49.5,4,54,1
96.9,57.3,4,47,1
51.3,61.1,5,62,0
18.9,53.5,4,51,1
83.9,55.8,7,122,1
46.8,79.5,6,61,1
56.9,74.5,2,136,1
78.6,0.0,8,109,0
26.2,43.7,2,115,1
32.5,46.7,5,105,0
26.2,15.0,3,166,0
40.7,51.9,3,46,1
62.9,75.0,7,176,1
64.4,28.3,4,37,1
60.0,56.7,8,25,1
29.6,31.7,5,148,1
13.4,36.6,4,161,1
56.0,79.5,5,17,1
46.5,39.1,6,108,0
63.3,59.2,5,92,1
67.6,12.6,5,40,0
57.5,87.2,4,94,1
68.7,62.1,6,123,1
59.1,46.4,2,103,0
64.5,61.5,3,94,0
42.3,21.8,0,159,0
51.8,73.7,4,41,1
58.5,43.5,3,112,0
69.8,45.9,2,57,0
47.9,40.2,7,175,0
64.4,38.4,2,46,0
50.2,63.9,6,156,0
52.9,55.1,5,114,0
69.9,63.0,3,39,1
19.1,49.8,6,136,1
31.7,60.3,5,44,1
28.3,41.6,4,47,1
13.0,94.6,8,62,1
42.8,18.6,5,123,0
68.5,75.2,4,71,1
49.9,77.4,3,102,0
58.6,33.0,4,99,0
74.6,94.6,5,36,1
78.9,69.9,3,42,1
53.8,69.4,4,55,1
79.4,50.6,9,40,1
56.7,45.7,4,165,0
39.9,45.8,4,69,1
44.3,57.8,3,73,1
28.4,78.0,5,121,1
39.0,53.6,1,142,0
48.6,31.8,5,124,0
69.5,66.5,5,99,1
86.0,68.4,4,175,0
30.1,63.1,5,162,0
62.1,64.9,3,37,1
36.3,44.6,12,29,1
63.5,31.4,4,71,1
52.6,32.6,9,150,0
22.0,17.3,6,173,1
71.7,54.7,4,126,1
44.1,48.3,6,124,0
45.4,41.2,3,42,0
35.7,0.0,4,107,0
43.2,25.1,4,33,1
62.7,72.4,0,97,0
51.6,36.7,2,35,0
60.9,57.2,7,14,1
61.5,22.2,4,174,0
78.8,78.8,5,160,1
48.8,47.1,6,123,1
28.4,55.8,2,112,1
74.2,96.5,3,43,1
49.0,80.3,3,103,1
75.1,43.9,9,134,0
61.9,38.1,9,97,0
52.6,43.5,3,51,0
61.3,60.2,2,71,0
90.1,47.9,6,151,1
92.4,42.1,5,46,1
56.2,79.3,3,173,0
57.9,47.7,6,136,0
74.4,96.0,4,160,1
39.8,51.8,3,92,0
61.0,85.7,3,41,1
54.5,57.1,4,7,0
60.7,69.3,7,96,0
40.0,35.5,8,72,1
26.4,32.9,4,21,1
17.7,59.2,1,167,0
34.9,69.8,2,174,1
46.7,50.8,9,67,0
49.7,24.3,3,120,0
89.9,22.8,4,74,1
74.9,21.5,5,89,1
37.7,14.6,8,112,0
61.3,52.2,3,75,1
47.7,72.5,6,144,1
49.9,49.7,6,34,1
58.3,4.8,6,120,0
66.1,46.2,1,176,0
48.9,46.7,5,153,1
74.1,91.9,3,9,1
34.4,20.9,5,21,1
55.1,42.2,3,113,0
100.0,84.1,6,166,1
59.0,59.0,5,152,0
80.8,61.3,7,162,1
56.6,52.3,6,27,1
65.5,56.6,6,93,0
54.0,65.6,7,130,0
51.9,33.8,6,112,1
41.0,67.6,3,140,1
62.7,22.5,8,39,0
39.7,56.6,5,82,1
67.0,53.6,7,81,1
74.5,37.7,5,169,0
61.6,49.5,10,37,0
49.8,37.5,5,59,0
63.2,28.6,4,4,0
49.4,42.9,1,28,0
71.8,27.9,2,176,1
22.0,56.5,5,152,1
49.0,27.0,6,47,0
19.2,64.2,3,126,0
28.1,26.4,4,107,0
79.5,38.7,5,163,0
71.1,37.5,6,54,1
42.0,76.5,5,178,0
28.0,56.6,4,67,1
1.6,45.8,9,129,0
45.2,60.0,4,72,1
98.6,7.9,1,121,1
62.8,49.1,3,60,0
44.9,90.0,5,151,0
63.4,52.6,5,115,1
26.9,51.4,5,52,1
49.6,61.0,5,173,1
56.8,67.9,3,127,0
53.5,10.1,6,77,1
69.2,16.4,6,25,1
61.2,54.2,5,175,0
67.0,35.7,8,136,0
42.6,76.2,9,120,1
71.2,43.7,5,150,0
84.3,11.3,6,109,0
37.5,24.6,5,42,1
39.0,0.0,3,43,0
79.0,45.3,5,15,0
51.6,46.2,4,12,0
80.3,41.5,3,131,0
47.0,71.6,8,153,1
81.2,74.0,3,30,1
57.4,46.6,1,103,0
59.6,7.3,6,23,0
83.2,62.3,5,75,1
48.5,61.1,4,142,0
38.1,56.2,2,146,0
46.9,69.6,0,170,0
63.1,26.7,4,56,0
26.8,90.2,3,170,1
66.5,30.8,9,141,1
45.3,65.0,4,61,1
75.7,16.3,3,59,0
11.9,31.4,2,20,0
40.8,80.3,5,165,0
24.6,44.8,2,37,1
40.1,66.8,2,48,1
59.5,54.7,2,74,0
51.8,47.9,3,25,1
50.4,77.3,5,145,1
52.1,45.3,4,125,1
58.7,14.4,4,29,1
36.8,33.9,4,30,1
67.7,61.0,3,4,1
66.9,57.9,8,170,1
61.9,18.7,3,79,0
65.0,35.5,12,118,1
60.3,38.4,6,27,0
91.6,42.7,8,42,1
53.4,22.5,4,97,1
49.5,37.4,4,38,0
41.4,35.4,5,110,0
36.4,65.4,5,166,0
32.6,66.2,4,55,1
39.0,47.1,2,109,0
53.7,42.2,7,164,1
61.0,52.8,6,160,0
55.9,33.7,4,2,1
41.2,27.1,4,20,1
71.2,31.2,11,177,0
68.3,37.3,8,166,0
52.1,26.7,5,58,0
43.2,53.2,6,94,0
64.9,64.6,3,103,0
58.4,18.3,8,120,0
28.9,50.5,3,135,0
53.8,45.6,3,67,0
59.7,56.8,5,160,0
38.8,49.7,5,11,1
58.4,20.9,6,6,0
28.8,24.8,11,172,0
79.1,50.6,4,32,1
77.5,70.6,9,179,0
50.5,5.7,5,52,0
61.5,56.9,3,66,0
11.6,73.8,3,6,1
34.2,46.9,4,169,0
49.7,61.0,4,65,1
35.7,35.9,5,31,0
67.9,47.6,0,87,0
91.0,17.6,6,28,1
33.8,3.1,6,142,0
39.9,68.9,3,14,0
59.2,30.3,3,90,0
84.0,40.9,6,71,0
33.0,22.3,5,7,0
59.5,21.8,4,10,0
87.8,46.5,5,93,1
25.3,35.4,9,71,1
31.9,57.6,1,24,1
47.4,59.1,9,25,1
45.6,56.4,2,145,0
69.6,54.8,6,131,1
59.3,81.6,3,109,1
23.1,28.6,4,150,1
64.3,48.9,2,13,1
44.6,72.7,8,124,0
77.9,75.3,7,135,1
43.7,21.6,4,36,1
43.5,43.8,7,97,0
64.7,77.2,6,138,0
68.7,60.2,4,109,1
63.1,53.9,5,45,0
24.7,45.6,4,119,0
64.7,42.3,4,136,1
36.4,55.8,3,2,1
59.2,45.0,4,102,0
29.4,49.1,7,91,0
63.0,51.6,2,66,1
40.5,36.4,5,8,1
31.9,60.6,5,15,1
67.8,100.0,4,135,1
59.3,14.5,9,149,0
43.9,56.5,6,76,0
81.1,34.8,1,169,1
47.1,61.5,4,167,1
55.6,50.9,5,120,0
59.8,65.2,4,104,1
43.8,73.5,6,173,0
63.5,53.8,6,110,0
45.4,72.6,4,168,0
47.6,3.1,1,176,0
79.5,81.8,9,35,1
36.3,57.5,10,119,0
11.6,71.6,6,131,0
84.0,25.6,5,147,0
100.0,33.4,2,63,1
47.7,52.9,6,155,1
20.1,49.7,7,88,1
49.4,55.7,4,70,1
49.8,71.7,12,29,1
51.6,14.7,7,58,0
35.0,69.5,7,175,1
65.4,50.2,6,129,0
64.4,45.9,4,130,0
28.1,20.6,4,161,0
67.6,60.1,6,48,0
91.9,1.7,6,119,1
58.1,63.0,7,67,1
48.9,20.2,4,152,0
52.4,51.1,3,76,1
66.1,47.6,4,154,1
23.8,73.4,7,134,1
58.0,46.4,3,139,0
48.0,36.1,4,166,1
88.3,39.9,6,142,0
51.9,75.5,3,58,0
85.0,60.7,5,94,1
35.1,42.3,3,85,1
65.6,45.3,2,12,1
60.7,18.7,6,107,1
39.4,57.8,4,79,0
58.2,14.8,6,71,0
76.8,65.0,7,20,1
49.2,52.6,4,91,1
24.5,97.7,7,104,0
54.7,28.0,3,19,0
38.8,47.9,6,114,1
48.8,86.0,5,31,1
53.5,73.8,1,26,1
24.3,36.1,5,72,1
25.9,54.5,4,70,1
63.7,50.0,6,164,0
45.6,55.6,6,13,0
8.8,36.0,7,63,1
69.1,48.2,7,132,1
59.9,18.0,2,45,1
42.2,52.7,6,176,0
31.3,59.0,2,133,0
70.0,45.5,10,170,1
61.3,17.7,4,170,0
97.9,69.8,1,20,1
62.6,57.3,7,83,1
62.0,35.5,5,134,0
52.0,44.4,5,2,1
69.7,20.0,1,81,0
66.3,29.5,6,124,0
77.5,39.2,5,142,0
45.6,74.6,2,75,1
47.2,37.2,1,155,0
46.4,62.8,4,121,0
69.2,39.2,2,9,1
82.0,55.0,2,50,1
46.7,47.2,5,168,0
47.4,67.5,5,1,0
60.7,39.3,4,20,1
50.6,18.5,8,62,1
72.1,22.4,6,178,1
14.5,39.4,1,127,0
40.1,25.0,3,27,1
40.9,58.2,2,71,0
13.2,40.7,0,169,0
37.7,97.5,5,40,1
38.5,15.2,4,104,1
51.4,54.1,3,84,1
75.0,27.4,10,137,1
50.6,40.1,3,135,0
36.4,52.8,0,150,0
54.0,3.5,9,22,1
73.9,54.7,8,82,0
37.4,88.1,2,124,0
38.6,40.9,7,76,1
65.1,55.2,4,120,0
51.0,70.5,3,114,0
66.7,46.7,6,67,1
54.8,38.4,3,18,1
67.6,4.5,4,174,0
36.4,62.8,4,148,0
54.8,47.7,4,161,1
51.2,29.7,4,54,1
33.1,52.5,6,57,1
26.9,38.3,6,58,1
67.3,39.4,5,6,1
48.7,62.1,7,31,0
36.6,23.2,4,56,0
53.3,70.9,4,177,0
75.3,22.0,2,37,1
13.9,36.7,3,91,0
28.1,88.5,2,98,0
38.4,72.5,4,65,1
81.3,52.0,6,165,1
60.1,31.2,11,17,1
68.8,39.4,4,156,0
34.5,51.5,7,134,0
34.8,50.8,7,55,1
63.1,48.2,5,138,0
56.0,49.4,7,77,0
64.9,45.7,7,174,0
51.6,21.2,10,7,1
60.0,39.7,7,6,1
57.8,68.3,4,98,0
69.0,22.6,6,167,0
69.5,46.2,5,12,0
25.8,33.6,6,140,0
14.5,52.2,4,169,1
73.0,42.2,5,88,0
76.4,79.5,3,156,0
36.6,60.1,6,136,1
21.5,23.8,2,39,0
56.8,63.4,5,153,1
71.8,34.5,5,126,0
87.4,38.5,1,3,0
64.3,56.3,4,102,1
48.3,40.2,5,118,0
38.9,67.9,7,144,1
55.2,34.5,7,139,0
49.6,37.6,9,86,1
36.7,36.9,10,54,0
91.9,38.7,3,35,1
87.1,72.0,9,16,1
75.4,62.6,6,115,1
38.4,84.2,8,172,0
70.4,95.4,2,15,0
66.5,29.4,5,126,0
63.0,51.4,5,105,1
77.5,26.5,3,31,0
66.4,34.4,3,39,0
68.3,37.4,5,51,1
66.5,28.9,3,123,1
61.1,29.0,8,54,0
22.9,47.1,6,149,0
56.5,25.7,4,67,0
45.0,66.8,3,20,0
32.0,31.6,10,18,1
85.3,100.0,9,72,1
86.1,41.0,2,74,1
79.5,51.4,9,132,1
59.6,24.1,3,86,0
79.3,84.1,2,30,1
55.2,72.4,4,39,0
58.7,55.9,2,102,0
35.3,23.1,4,60,0
62.1,54.2,5,121,0
56.1,27.6,1,166,0
31.6,79.2,6,64,1
54.1,66.2,7,99,1
53.6,51.9,2,149,1
87.4,1.3,3,38,1
71.1,30.3,3,92,1
55.2,63.8,9,55,1
59.5,74.3,7,113,0
55.8,72.2,6,134,1
51.3,18.2,3,26,0
35.5,56.0,9,34,1
52.3,70.3,5,5,1
41.6,16.8,4,3,1
32.5,49.8,5,10,0
64.2,55.5,4,127,0
62.0,44.0,9,162,0
22.8,13.0,4,74,0
52.8,43.5,7,158,0
72.9,43.5,4,131,1
74.1,47.0,3,145,1
73.5,38.7,2,133,0
55.7,41.1,3,36,0
39.8,49.2,5,94,0
35.5,58.8,3,95,0
61.2,43.9,9,115,1
61.8,41.8,7,143,0
78.2,51.8,4,21,1
74.8,11.6,8,121,1
52.6,59.5,6,150,0
32.6,50.0,9,21,1
49.3,50.8,3,75,1
58.9,69.2,4,161,1
51.4,10.9,5,5,1
44.6,10.5,3,29,0
59.6,55.5,6,144,1
45.9,49.9,7,31,0
43.7,53.4,3,126,1
60.6,40.8,6,162,0
47.8,63.3,3,90,1
59.4,68.7,3,87,0
59.9,59.7,4,77,0
34.5,44.8,6,67,1
46.3,7.8,2,69,0
80.9,65.4,2,100,1
34.1,74.4,9,161,1
16.9,62.9,2,176,0
21.5,32.4,3,155,0
55.5,63.5,9,22,1
55.6,67.2,10,55,1
52.9,81.2,6,136,0
76.9,32.5,7,98,0
6.9,45.5,5,60,0
62.1,64.9,10,56,1
83.1,51.1,6,21,1
34.7,27.7,5,60,1
48.2,58.3,3,76,0
41.4,61.6,7,75,1
38.9,51.8,8,99,0
49.1,54.4,3,49,0
80.7,44.8,2,37,0
88.1,79.6,13,159,1
49.0,32.0,2,73,0
89.3,38.3,3,46,1
55.6,50.2,4,114,1
86.6,67.6,4,98,0
53.3,20.1,4,104,0
57.4,23.8,2,40,0
61.6,9.2,2,130,0
100.0,50.7,5,35,1
70.3,27.6,3,150,0
42.3,42.3,7,76,1
72.4,63.2,4,74,1
48.5,37.2,3,70,0
46.2,54.6,1,76,0
71.4,44.0,5,120,1
55.6,63.4,6,89,0
60.0,59.5,7,23,1
55.3,36.2,5,102,0
61.1,46.6,7,48,0
62.6,70.9,1,20,1
20.1,57.9,3,151,0
67.0,22.1,3,56,1
37.3,63.1,8,107,1
29.0,28.3,4,31,1
53.9,78.3,8,61,1
56.5,70.5,5,70,1
42.5,55.8,5,24,0
70.0,53.1,6,175,0
30.8,45.8,9,56,0
47.7,63.6,7,105,1
44.5,42.6,2,102,0
54.2,54.7,4,77,1
60.0,67.4,5,105,0
36.9,38.8,3,102,0
68.0,37.7,4,15,1
56.1,26.1,6,120,0
20.9,28.7,4,21,1
19.7,13.4,4,78,0
54.8,64.6,7,66,1
51.0,86.2,4,81,1
53.1,78.5,4,13,1
54.5,17.5,2,126,0
59.1,64.5,4,75,0
72.1,78.4,8,11,1
35.0,40.9,10,1,1
33.9,52.0,5,97,0
35.3,9.8,4,120,0
60.2,55.3,4,98,0
77.4,28.7,3,129,0
47.2,54.0,7,136,0
10.0,18.8,5,157,0
24.3,60.9,5,176,1
40.0,70.5,7,159,1
45.0,34.3,5,143,0
47.6,27.3,3,78,0
55.7,6.9,6,91,1
49.4,44.7,2,111,0
73.9,38.4,7,31,1
42.8,19.0,7,122,0
39.5,59.1,5,106,1
63.6,41.0,5,94,0
27.4,28.5,1,150,0
62.0,38.9,6,124,0
56.8,71.4,6,167,0
52.3,62.1,9,175,1
83.6,47.4,4,148,1
43.8,62.4,3,54,1
92.1,26.8,3,34,1
50.9,50.6,2,54,1
32.0,52.9,8,128,0
56.3,40.6,4,155,0
35.6,58.7,6,158,0
41.5,34.4,6,123,1
62.1,60.2,2,122,1
65.0,61.0,5,171,0
43.8,0.0,5,123,1
72.8,73.8,3,26,1
75.8,0.0,5,90,0
80.9,37.7,6,65,1
64.5,70.5,7,115,1
79.5,43.7,5,114,1
21.1,20.7,4,53,0
49.3,28.1,6,54,0
39.4,70.5,8,16,1
57.1,11.6,1,53,0
44.7,72.6,4,149,1
52.0,48.9,5,118,0
88.9,26.2,8,169,1
51.9,38.3,5,166,0
62.4,29.7,4,154,0
50.8,67.3,3,33,1
56.4,64.6,5,60,0
55.1,15.6,2,11,0
63.1,41.9,4,17,1
76.0,32.7,6,42,1
84.7,75.9,3,51,1
60.6,23.0,1,3,0
65.6,82.1,6,151,1
34.3,49.3,6,95,0
53.4,26.8,7,118,0
71.9,36.5,1,117,1
70.6,34.0,3,174,0
58.8,24.5,5,27,0
71.0,51.9,5,62,0
63.8,25.4,12,56,1
76.6,6.4,8,99,0
60.2,42.4,7,95,0
48.6,13.9,3,142,0
61.0,35.0,3,101,1
2.2,31.8,6,42,1
61.9,32.6,4,102,0
0.0,90.0,5,173,0
24.0,51.1,6,104,0
63.1,54.9,6,107,0
63.6,14.5,8,32,1
34.1,36.9,6,2,1
42.2,54.3,7,38,1
79.7,29.5,5,5,1
46.3,68.2,4,81,1
95.4,25.9,4,158,0
55.0,44.3,6,80,0
62.3,38.3,6,116,0
84.1,53.3,5,154,0
57.4,37.2,4,137,0
37.0,44.6,3,117,1
53.0,45.3,6,141,0
54.4,35.3,4,51,1
30.4,59.7,9,76,0
50.4,54.8,5,72,1
41.6,48.2,5,143,0
71.6,41.4,1,74,0
55.6,65.9,5,168,0
49.9,45.3,4,34,0
53.1,43.9,6,31,1
59.0,52.1,8,129,0
66.1,83.9,6,137,1
37.0,23.2,4,122,0
36.3,65.4,4,56,0
74.9,12.1,5,2,0
47.6,54.3,7,58,0
29.5,81.5,5,84,1
63.0,59.8,6,74,1
63.3,53.4,5,166,0
27.4,38.8,4,155,1
59.1,50.6,6,139,0
68.2,45.0,6,4,1
61.7,34.3,4,23,1
66.4,44.2,3,78,1
29.7,54.0,2,112,1
61.0,34.7,7,122,0
49.6,33.9,3,54,0
46.3,22.8,6,20,0
70.7,57.8,4,59,1
81.6,60.9,8,142,0
87.3,54.6,8,177,1
78.7,69.3,5,169,1
53.0,51.8,5,107,0
