house_size_sqft,bedrooms,bathrooms,house_age_years,distance_to_city_km,house_price
960,4,1,31,17.3,324961
906,4,3,46,11,328178
3223,2,4,21,20.6,635569
3056,1,4,17,6.9,647628
2969,1,1,49,14.7,415500
2170,2,4,27,23.1,428537
3037,2,1,30,17.1,484515
1148,1,2,14,33.1,195925
3662,2,3,10,11,776988
2303,1,2,8,38.8,408213
3789,4,3,11,31.6,801517
1117,5,1,9,38.7,351771
2290,4,3,37,33.7,508384
2967,3,3,2,6.5,701568
2285,3,3,31,21.5,494463
2116,2,2,47,7.6,387313
1165,1,2,38,32.9,95376
1895,3,2,20,23.8,443833
1411,3,2,2,11.3,458603
1625,1,3,41,37.3,237264
2924,3,2,0,5.5,711057
2742,2,2,34,23,472558
2664,1,2,33,29.1,399827
1830,4,1,9,3.3,552579
3862,3,3,36,24.3,720611
898,4,4,8,32.8,344703
1764,4,2,11,3.6,578933
1001,5,4,40,21,424208
1752,5,3,48,11.1,503443
3870,4,1,13,26.9,748368
1845,5,2,46,5.6,515653
3689,3,1,45,37.5,525929
2283,5,1,38,35.9,429947
2979,4,2,7,8.3,761500
2155,4,2,14,13.6,607791
1503,5,4,33,23.9,516681
3198,3,1,49,29,546099
3895,4,4,40,18.3,802711
1495,2,1,21,7.1,447390
3247,5,1,11,5.1,777979
1487,4,3,48,40,323669
3037,4,4,13,18.8,722671
3282,3,3,17,35,626641
2127,5,1,48,19.8,507300
3105,1,1,28,37,390521
1525,1,2,13,4.4,425472
869,3,2,0,5.4,387390
927,4,4,21,37.3,329927
2119,5,2,49,38,408575
3668,3,1,21,13.3,707419
1033,4,4,34,14.9,395766
2149,3,1,12,18.6,461764
2993,5,1,38,17.2,609071
1288,4,2,38,8.4,483362
3053,3,2,30,36,507650
1640,5,3,38,10.9,488385
3349,1,4,28,28.5,533283
2569,5,4,18,3.6,768689
2459,1,2,36,2.5,471732
1201,2,4,41,26.5,284227
2174,5,3,42,14.2,606278
3512,4,1,10,26.6,673475
666,5,4,33,4.7,428378
3178,4,1,0,38,594216
2275,4,3,28,30.2,501849
3046,2,4,28,35.2,505238
2855,1,1,18,6.3,471477
2069,1,2,49,13.5,358936
1649,2,2,44,15.4,341163
2732,1,4,1,21.9,590159
1076,3,1,10,12.6,338444
2585,4,3,10,3.4,736423
921,5,2,44,15.4,287872
2809,3,1,25,10.9,590961
2737,5,3,36,16.1,672533
887,5,4,40,8.7,449479
3175,5,3,38,11.2,753660
2013,3,1,4,25.5,424143
3275,2,1,7,16.1,560072
741,5,2,19,14.5,348493
1210,2,3,16,21.8,337480
2279,3,3,37,31.1,465570
1239,1,1,7,15.8,221272
1721,4,3,18,23.9,463196
2846,4,2,11,38.7,552122
1091,1,3,9,21.4,256707
2904,2,4,8,36.5,517090
951,3,3,9,32,255135
1195,3,1,28,3.3,327126
2597,5,4,20,17.7,715069
3297,2,1,21,28.2,489530
1180,5,4,23,39.5,403242
1619,3,1,37,18.9,371043
3745,5,3,43,4.6,809166
3964,2,1,26,22.9,641898
2575,1,1,32,5.9,467559
2119,1,3,36,30.3,316597
1779,2,3,34,20.8,356582
2682,5,1,6,29.2,657491
2609,1,4,49,34.9,363559
1602,2,2,8,25.5,395825
677,1,2,20,24.9,125081
1115,5,2,32,30.4,338189
3859,4,2,20,33.9,743658
2021,4,1,12,34.9,456883
2239,4,2,46,2.4,582493
2188,4,1,3,22.7,524909
3261,4,1,12,9.4,718440
820,1,2,49,34.6,29043
881,5,3,36,26.3,360175
1537,4,4,4,17.4,523873
2254,4,2,37,8.3,583267
2881,2,2,48,14.2,498024
2268,5,4,4,28.4,627205
2099,2,3,20,9,537868
3788,1,4,23,4.6,802973
1147,5,4,6,35.6,488740
2543,2,4,10,30.8,570864
2443,1,4,8,8.8,560610
2209,4,2,9,12.4,550524
3345,2,2,20,38.9,466687
1507,5,2,23,28.6,455070
3842,3,1,11,24.8,687263
1727,1,3,14,13,369706
2453,5,3,9,12.7,709368
2370,3,4,39,2.5,614693
3489,2,1,10,29.4,534278
2092,4,2,45,2.7,519897
1567,3,1,26,1.2,474584
673,1,4,40,29.5,70700
1836,4,2,31,38,417034
3409,3,1,13,30.5,588580
633,4,3,30,19.4,296163
3646,5,4,13,20,907179
2445,4,4,5,18,701248
1076,4,1,12,13.7,405139
1627,2,2,13,21.3,336402
2483,2,1,6,17.8,525663
1673,3,2,1,24.3,420563
969,5,3,47,36,298149
2864,3,2,25,39.8,494587
2885,2,1,20,4.1,579529
1004,4,3,46,16,339851
1556,5,1,11,8,512498
1429,5,1,20,14.7,426999
2842,2,1,42,12.2,497953
3083,4,1,31,7.8,655676
3071,3,2,19,30.8,600880
3791,3,4,12,20.4,799452
3213,2,4,1,36.9,575392
1690,1,1,4,2.3,428257
966,2,1,8,3.6,295758
2689,3,2,39,16.7,531264
3714,5,3,31,4.1,855294
3915,5,3,21,11.2,957385
1382,1,4,39,39.5,176473
1403,4,2,8,9.1,485350
727,1,1,10,8.7,185833
1080,4,1,19,23.4,289563
2486,2,1,45,20.4,394659
2459,3,1,30,23.6,504289
1861,4,4,42,15.7,501585
1653,3,2,12,33.2,391784
3421,5,4,42,6.4,736441
2164,3,3,3,17.7,566966
3348,5,3,11,27.9,759584
3874,4,2,26,34.9,688503
1678,2,4,2,15.4,522462
1289,4,1,42,23.1,294800
3839,3,1,43,3.7,703545
2758,3,2,27,7.6,585178
1589,1,2,15,3.7,322813
2714,1,3,4,29.4,457029
2351,3,3,30,12.2,576271
3678,1,3,26,29.2,517205
1470,5,2,37,3.6,483296
3970,5,2,30,34.6,760453
3782,4,4,6,33.6,863673
1214,4,1,6,4.5,478521
1159,3,3,39,1.9,366507
2412,1,3,7,3.2,588046
752,2,4,46,34.3,113247
1615,3,3,5,10.2,543726
2079,5,2,36,22.4,484517
3895,2,2,48,17.6,663386
3974,3,2,22,32,691431
1115,2,2,2,20.1,283820
3631,1,1,43,20.5,498167
909,1,3,9,39.6,167323
3145,2,1,26,6.9,560253
3475,1,3,49,33.4,488706
3628,1,4,37,3,661678
1359,2,4,2,19.6,439504
3637,2,1,41,35.6,513577
994,3,4,8,26.9,357356
2364,1,1,37,27.7,296399
2196,2,2,31,11.3,452577
1674,3,1,14,17.3,428306
675,5,1,21,15.3,379540
3224,4,1,5,21.3,709760
1740,5,1,49,19,456898
2849,2,4,11,13.7,726877
1994,3,1,15,12.9,489477
1870,3,2,25,10.8,484247
3613,5,3,33,15.2,828927
921,5,4,25,6.8,452342
3104,5,4,25,35,685979
3139,4,1,29,24.5,581142
1891,3,4,42,6.2,528078
1492,3,3,19,28.1,381716
618,5,1,41,34.1,184404
3785,2,2,39,10.3,695231
3822,2,4,48,6.9,746339
1419,5,2,45,1.3,482047
708,2,1,39,2.8,159597
1017,2,4,12,30.7,322537
829,3,4,38,39.5,223857
3425,2,4,36,2.8,650773
3632,5,4,14,30.2,819158
1121,5,4,33,3.8,518472
3138,2,2,12,24.1,593648
1209,3,1,26,30.5,277852
1848,5,3,39,15,553217
2637,4,1,9,1.4,687956
3047,2,2,16,24.2,548834
3573,3,3,39,39.7,567830
752,4,4,22,11,380824
1267,4,2,48,8.4,375026
1553,1,2,0,5.8,402586
1655,2,3,36,22.7,285675
3993,5,1,40,24.3,751161
3243,2,3,45,31.9,503693
1689,2,3,7,30.4,380778
3904,2,3,49,35.8,580176
2297,1,2,19,32.4,371682
2302,1,4,17,10.6,477533
2074,2,2,17,22.7,372055
1089,5,3,31,12.6,436800
3776,1,2,32,13.9,637005
647,2,1,23,37.3,119324
1192,1,3,3,27.6,299993
1380,3,1,49,39,145377
1549,2,4,11,17.3,432507
1048,4,3,4,22,426986
661,3,2,29,20,211224
2904,4,2,20,5.2,709330
3895,4,3,30,10.2,808277
1014,3,2,43,21.6,238743
1608,5,2,4,3.6,623853
2321,3,2,14,37.3,477872
3753,5,2,25,5.8,835677
2960,5,4,39,8.7,738952
3205,3,1,30,30.8,447151
2575,4,4,19,4.8,695073
2017,2,2,30,36.1,311180
1279,5,3,48,29.3,342417
3538,4,1,24,3.7,758677
3334,5,2,44,28,652234
685,2,4,38,25.6,108339
3032,4,2,15,30.5,628569
886,3,1,12,33.3,184214
3112,1,3,38,29,476512
3408,1,1,10,23.9,498408
1045,3,2,16,13.6,343209
2075,2,2,11,28.2,405539
1020,1,3,30,38.3,142756
2528,3,3,14,23.9,567445
3753,4,3,32,26.9,730294
874,2,4,46,18,179743
1951,5,1,41,30.5,388219
3908,4,2,47,39.9,629418
1623,3,1,1,7.3,476070
1049,5,1,22,8.9,398633
2261,3,1,11,22,502642
2328,1,3,45,19.8,368144
2853,1,4,35,23.3,457409
1666,5,4,16,2.9,644814
3849,5,3,28,16.8,862591
2371,4,4,30,23.7,593803
1573,1,1,24,23.8,301204
3864,2,4,23,26.6,691829
3744,1,4,2,29.1,680337
2297,1,1,22,26,357926
684,2,2,17,31.8,142900
2629,3,4,40,25.4,520835
2487,1,2,43,22,316996
1103,5,4,37,24.6,401580
2755,3,4,1,4.9,699686
3458,2,2,42,11.7,541844
960,3,1,19,21.6,232311
3059,4,2,20,35,563988
1077,2,1,47,27.5,152869
3146,1,2,43,4.5,540373
2024,1,3,2,24.1,398771
622,5,2,17,9.6,361313
3885,1,1,37,29.6,473066
1164,4,2,26,33.3,296222
2626,2,3,12,24.1,542632
1216,4,1,26,24.1,352177
3772,1,1,43,14.2,533269
3110,5,4,11,18.4,833110
3334,4,1,37,34.7,519142
2069,3,2,36,29.2,359281
2189,2,1,44,21.3,365883
2756,5,1,14,15.4,717663
3268,2,2,10,3,693660
3479,3,3,27,6.6,733725
660,2,1,26,8.5,113326
2856,2,1,20,15.6,454390
971,3,1,38,37.8,149940
1578,1,3,39,20.7,269814
3420,1,4,12,10.2,645391
1451,2,1,39,5.1,314071
3309,1,2,11,14.2,591231
2174,3,2,20,32.8,464912
1390,5,2,1,16,537244
1736,1,1,17,31.1,295463
2404,1,1,47,32.3,271707
3201,1,3,22,5.3,606215
2660,3,2,35,24.7,527134
3772,2,2,5,38.4,603507
3550,3,2,31,16.7,750635
3161,1,4,18,3,664276
2650,2,3,37,37,431122
1585,3,2,46,35.5,290730
2002,3,1,26,21.4,469933
1004,3,4,5,22.5,410017
1872,4,4,23,9.3,542847
3750,3,1,6,33,710117
2047,5,4,22,20.4,613649
986,3,3,3,2.3,441728
2816,2,1,32,27.6,393325
3872,2,4,15,38.1,703171
3549,2,1,10,33.3,552594
1531,3,1,0,11.8,449056
2143,2,1,44,3.1,402677
2405,5,2,41,37.7,552748
1442,3,3,40,37.5,347959
1513,5,2,2,21.8,529499
1404,4,1,17,26.1,377063
3981,2,1,48,19,600761
3136,2,4,28,17.4,649974
3458,4,4,6,5.7,857774
3376,2,4,7,4.8,743092
3861,2,1,13,10.1,741697
957,5,4,48,33.6,308938
3597,3,3,8,6.7,800458
826,1,3,45,9.8,123884
2216,3,1,33,22.4,442430
2621,3,4,46,9.4,642036
1816,5,2,41,7.4,557031
1096,4,1,16,23,378330
1253,1,1,41,15.4,156057
3403,1,2,8,25.4,572163
1683,4,1,14,36.6,357698
1655,1,2,10,6.9,383610
3739,2,2,6,36.6,654816
1089,1,4,4,36.2,253400
3711,1,1,9,33.3,510009
3731,5,3,6,25.6,814776
2635,1,4,19,25.2,448502
1162,1,4,3,25.9,322524
1129,5,4,3,27.9,555529
1568,1,1,49,1.6,311222
2563,5,4,4,38.4,608376
1122,1,4,3,23.8,351327
2149,1,2,1,31.5,414003
992,1,2,6,15.7,202232
2436,4,3,26,1.5,652242
671,4,2,41,20.9,257298
3010,3,2,36,20.8,571842
788,2,4,29,18,211398
1262,1,4,4,14.2,388681
1193,3,2,38,10.7,262688
3425,2,4,1,21.6,704576
781,3,2,31,15.6,277955
2059,4,4,20,38.8,507484
2609,5,3,44,7.7,649077
2354,3,2,15,13.5,576812
2914,1,1,31,12.5,487054
3330,2,3,21,22.2,653298
1938,5,2,26,20.5,564418
3415,3,1,46,26.1,571613
1681,4,1,35,38.1,349170
3947,3,4,20,12.1,851002
2315,1,1,22,28,342198
3102,5,4,35,2,798892
3575,4,4,17,11.2,801010
3295,5,1,8,19.1,714884
3493,5,3,23,2.2,856352
2424,2,3,3,25.1,530118
747,2,2,8,27.5,239839
2276,2,3,21,30.1,437217
1217,5,2,39,21.1,417215
3622,3,2,39,24.6,659121
1404,3,2,13,16.4,397000
1375,5,4,21,2.6,612004
1447,4,3,7,4.9,544927
2784,5,2,37,26.5,639005
2542,5,4,12,39.8,655999
3826,1,4,39,1.6,679164
2015,2,4,42,22.7,415080
1559,4,3,34,30.3,451040
767,5,2,16,33.2,302562
624,1,4,47,22.3,117183
1870,2,2,34,25.2,355984
3747,3,2,32,28.2,620578
2380,4,2,42,34.5,467354
3638,1,4,44,5.8,610367
945,4,3,3,37.1,322435
917,2,2,44,2,275781
3433,2,2,38,33.6,522738
962,3,2,10,4,370343
776,3,3,15,8.6,354169
1973,4,2,37,1.2,541044
3744,2,3,10,18.4,725718
2943,5,2,22,14,727977
936,1,2,34,7.5,178489
3446,5,4,32,18.6,800324
3468,1,2,45,16.7,508387
3322,4,1,5,30.9,610399
3669,2,2,14,35.8,574924
1415,2,3,49,26.5,302465
3930,1,1,28,5.9,666140
1690,4,2,12,12.5,478766
3326,1,1,14,36.6,417071
2569,4,3,16,4.5,688271
3250,4,3,27,16.9,754890
2734,5,4,14,37.8,659420
2784,4,2,31,38.1,557151
2695,2,4,22,17,583650
3248,4,1,30,27,613992
3112,5,4,7,18.8,770169
1057,2,3,31,30.4,248047
3408,1,4,46,2.2,613616
2422,5,4,6,6.6,795007
1698,1,3,16,25,315280
2348,3,2,34,10.1,520757
3887,2,3,30,27,677648
3515,1,4,33,14.7,618792
3434,4,4,27,35.6,703831
2173,1,4,34,33,352653
3266,4,1,30,20.2,610284
1909,4,3,3,31.1,577306
2932,1,1,37,11.6,480335
2774,1,3,22,20.3,467487
1449,4,4,2,8.7,596923
1505,3,1,20,34.6,278307
807,1,3,21,33.1,98666
1075,5,4,4,36.2,478688
2074,2,4,49,35.2,299774
2224,1,2,11,38.4,371176
1161,5,1,16,9.9,441513
2017,1,4,22,37.3,345766
2654,3,4,41,23.3,557312
1390,5,3,37,17.5,484581
1750,3,4,38,22.9,406241
1849,3,1,11,14.4,478778
2317,2,3,42,12.3,465977
1845,1,1,41,10.4,259979
3105,3,4,23,4.2,722542
1713,5,3,27,20.4,574345
2075,1,4,1,35.6,469732
1890,5,3,38,25.6,532426
1221,3,1,48,21.3,198830
2931,3,1,23,17.7,574048
1400,1,2,27,19.1,282985
1609,4,3,24,9.2,540774
3295,1,1,4,33.1,521092
3826,2,4,30,8.7,769876
2880,4,1,36,28.9,522927
3715,1,2,46,30.6,483143
3504,3,1,46,23.4,507371
2235,3,2,24,34.7,437324
3218,1,2,47,12.4,496869
1716,2,1,26,35.4,282592
2165,2,3,32,29.4,358843
2420,4,4,30,32.2,575804
3865,5,4,49,26.9,857519
3485,5,2,36,34,676164
2263,1,4,6,39.7,414001
2818,1,4,3,17.4,594540
1288,1,4,20,32.7,321979
3334,3,2,25,30,562703
2480,1,4,33,18.7,466859
2411,2,3,24,37.2,396290
3205,5,1,25,16.4,681955
2751,5,2,46,23.1,584580
846,5,3,16,5.1,507145
1579,2,1,24,9.8,405846
1200,4,2,27,33.8,326644
3098,4,4,23,16.5,716140
719,1,1,48,16.4,129904
1288,3,2,48,10.6,306583
2631,3,1,25,20.2,487281
2962,2,3,22,32.4,464034
2311,4,1,29,35.9,481769
3526,4,4,9,3.7,908272
3724,3,1,21,23.4,736820
1049,4,4,10,19.2,403995
3838,4,4,7,25,897230
2688,3,4,4,18.4,663677
2763,2,4,29,16.5,590739
923,4,1,0,19.4,305678
2714,4,4,32,23.7,667831
3067,5,3,21,20.5,755628
2574,1,4,18,19.4,506519
887,3,4,38,32.9,258219
2378,5,3,26,30.1,566407
3782,3,2,36,14.3,686181
3059,5,1,35,32.2,575198
1067,1,1,1,34.3,115660
3863,1,2,10,7,738463
3860,4,4,28,23.7,846001
1175,2,3,48,12.1,251852
3323,3,2,7,29.8,647967
1982,3,1,5,10.3,499748
2618,3,3,47,27.2,489567
2113,5,3,48,10.9,557102
3260,1,4,8,20.9,594551
3988,4,3,20,38,798879
3303,5,3,31,15.9,758145
3766,4,4,9,35.2,855244
3816,2,2,16,39.5,610336
906,1,4,19,35.1,153617
1461,4,2,32,7.5,488490
3054,3,1,15,33,554120
2606,1,2,20,2.3,537060
770,2,1,14,16.3,236943
923,5,1,37,35,230628
2369,2,4,7,27.9,520677
2694,1,4,11,21.8,526117
1170,4,1,12,16.1,347243
1182,1,4,45,32.7,171378
1039,5,1,47,28.7,313340
2520,5,2,25,19.3,630684
626,5,3,7,35.8,279800
2546,5,2,37,10,587469
2218,2,3,24,7.6,563214
2184,2,4,42,26.1,417013
2909,2,1,17,38.9,417108
2376,3,1,49,10.6,441390
3074,5,4,40,10.7,710404
3197,4,3,11,6.4,824879
3728,4,3,36,34.6,680903
3317,5,2,14,9.8,840123
2360,4,2,17,20.6,569066
2273,2,3,12,39.6,465460
1401,3,3,34,1.5,448231
2638,3,1,13,22.7,550926
1073,1,3,31,21,232164
3766,4,3,29,32.5,744079
3473,4,1,37,14.9,676201
1007,4,2,49,17,281843
3272,3,4,0,7.5,853924
998,4,3,49,29.9,238260
3052,5,1,5,31.6,665643
898,3,1,26,6.3,287934
2259,3,3,17,16.3,563494
2836,1,2,31,35.8,371194
3077,4,4,36,1.1,762991
2023,5,3,42,12.7,566283
3733,4,4,20,22.6,764124
3232,5,1,46,14,659753
1308,5,2,16,11.6,465941
2882,4,1,10,18.9,578338
3083,3,3,18,8.1,695507
1734,1,1,26,21.7,288044
3109,1,2,33,28.6,461412
3654,2,2,41,23.4,599054
3378,3,1,11,4.6,648867
3192,4,1,15,33.9,560620
2757,3,3,46,7.8,637267
1519,1,4,21,30.8,274172
3303,2,1,12,15.1,619087
1838,5,2,49,31.5,401627
2409,5,1,22,9,630209
1669,2,4,49,8.3,380525
1664,5,2,45,20.4,467192
1135,4,4,45,2.3,446242
3868,5,1,29,9.8,811392
1102,5,1,39,29.2,271810
893,4,3,48,33.7,239912
3782,2,3,13,4.2,745083
2487,4,4,1,35.4,637698
2088,2,4,16,32.1,526511
3107,2,4,31,34.9,575630
1903,4,3,27,28.2,501430
1034,3,2,4,27.3,312813
3080,3,2,28,21.5,524212
1198,2,1,8,26.5,219864
2480,3,2,25,36.8,486847
3826,1,2,28,4.9,645486
3782,4,1,31,13.3,719087
1826,3,1,20,3.8,468800
3253,5,3,20,37.8,660542
2683,3,2,33,18.4,491614
2229,3,4,37,27.3,481922
1075,1,2,40,33.8,80528
1879,1,4,16,39.6,316083
2816,2,3,21,7.3,576967
3954,2,1,16,32.2,649645
616,2,1,26,35.6,54362
3040,2,3,6,2.9,680769
3477,4,3,21,30.4,722320
3834,1,2,9,14.8,674287
2040,2,3,26,26.3,400960
1002,1,4,42,21,213464
1521,2,2,49,11.1,324762
3491,4,1,22,6.3,736174
3584,1,2,2,5.6,691213
2766,2,4,11,5,634499
1017,1,4,5,25.9,249358
1014,5,4,37,14.7,462469
2225,4,4,49,9.4,587852
2600,2,1,27,28,427831
710,1,2,8,27.8,146045
2932,1,1,1,22,498653
2451,3,1,48,37.5,375183
641,4,4,15,16,390662
925,3,4,5,33.6,353549
2144,5,1,8,3.9,645112
3056,2,3,12,29.9,606988
3406,2,3,32,39.5,536001
2066,3,1,44,34,346068
1604,2,4,13,23.6,426571
3892,5,4,34,25.4,851835
2159,1,3,3,14.8,456988
1672,3,3,0,27.5,486729
2103,3,2,2,31,564525
641,1,4,46,39.9,28265
1626,3,2,29,20.2,387322
2352,3,4,40,3.4,574383
3722,2,1,1,24.2,646091
3109,1,1,1,5.6,633945
3256,1,4,42,10.5,556864
2452,1,2,5,13.8,472498
976,3,2,7,29.5,240119
1929,1,4,25,8.2,425877
3989,5,1,30,7.5,803259
750,2,3,11,2.8,337497
3589,4,2,22,35.1,755629
2927,4,1,33,28,531583
1565,3,4,22,2.6,473362
3245,5,1,19,2.1,803506
3445,1,1,3,22.8,542846
746,2,3,22,12,292385
961,2,4,40,24.3,224619
2863,1,1,31,17.9,410351
3996,2,3,44,37,607528
681,2,3,6,12.2,301597
2863,4,4,0,27.5,701583
1064,2,1,27,3.1,265564
2810,5,4,8,38.3,682137
2719,4,3,29,39.2,501791
907,5,4,45,29.8,349711
2914,1,2,16,19.1,445309
3649,5,4,27,9.6,868052
3535,4,3,34,32.7,694994
698,5,1,7,29.7,309069
1436,2,4,44,9.7,386388
1418,5,4,10,18.6,563078
2141,3,2,40,19,472422
1086,1,3,32,33.2,189515
3504,3,2,7,27.7,687994
3241,1,3,36,26.1,525235
3348,5,4,9,26.3,832888
1273,2,4,29,11.5,357448
649,2,1,47,15.5,56009
3696,3,4,47,2.8,779361
1582,3,2,43,31.7,313580
2831,1,3,24,17.9,535222
3692,5,4,27,18.1,826760
722,5,2,15,10.6,364262
618,4,2,46,9.2,261154
618,4,2,23,23.9,243922
1131,3,4,38,10.1,321115
775,3,2,17,3.5,337220
3387,3,2,37,30.9,512482
2660,1,2,11,15.7,462847
3932,1,1,36,15.8,635929
3325,2,2,2,17.8,703074
3874,3,1,5,32.8,657488
1411,1,1,17,13.5,266856
1578,1,3,24,30.6,279735
3487,5,1,35,37.6,685672
1432,2,3,17,26.8,322317
794,3,4,0,17.8,360909
2875,3,3,16,30.2,625685
3323,4,2,21,18.9,684877
3891,4,1,27,17.2,776203
3754,2,4,32,21.5,645414
1008,5,4,12,13.4,500787
3225,2,3,30,5.1,594238
3476,5,1,31,17.2,690386
2973,3,1,38,5.8,600374
3387,1,2,26,17,549658
3449,4,1,40,22.7,613622
2118,1,4,11,37.3,371047
736,4,1,35,2.4,290584
2151,1,2,2,25.2,417914
1286,2,4,5,18.9,432841
986,4,4,43,1.8,341758
1024,5,1,23,10.7,377388
2971,3,2,31,5.6,627995
2315,1,3,30,9.5,450547
2435,2,3,34,11.7,512509
3133,5,4,12,16.7,817187
2464,4,4,8,21.6,650436
2742,1,4,2,1,627473
892,2,1,43,7.3,182411
3493,2,1,11,4.6,709675
2125,1,3,28,22.4,359600
1127,5,1,22,13.8,410252
3365,4,2,8,22.4,726615
3097,1,1,20,9.7,568806
780,4,4,4,1.9,466899
