spending_score,engagement_score,purchases_last_year,days_since_last_purchase,premium_customer
29.1,60.8,7,24,0
66.1,82.0,12,12,1
89.5,78.3,1,0,1
75.2,64.6,8,0,1
74.6,72.1,17,22,1
44.2,29.5,4,23,0
31.6,23.2,3,11,0
26.0,26.6,3,19,0
26.5,38.0,0,20,0
60.3,71.6,20,18,1
66.3,73.4,32,13,1
71.9,76.7,4,0,1
23.1,28.1,15,21,0
79.4,72.7,5,1,1
32.6,25.4,0,19,0
23.2,35.6,17,24,0
18.7,25.0,1,11,0
84.4,75.0,8,3,1
23.7,31.2,12,8,0
21.2,31.9,0,4,0
80.4,84.7,5,0,1
77.0,88.4,9,3,1
91.2,69.1,10,0,1
38.5,37.1,2,27,0
84.8,77.9,11,0,1
31.6,36.5,12,15,0
19.8,15.4,6,26,0
43.6,33.1,4,13,0
24.7,18.6,3,10,0
29.8,36.8,8,17,0
20.6,33.1,0,16,0
30.8,30.4,8,14,0
24.6,32.3,6,20,0
62.9,86.0,5,0,1
72.8,86.8,8,0,1
20.0,45.3,0,17,0
68.1,80.8,0,0,1
68.7,73.9,0,7,1
70.0,78.5,3,0,1
80.0,73.6,15,0,1
42.1,14.4,1,20,0
32.7,42.9,0,10,0
57.8,88.8,4,0,1
31.9,28.7,2,7,0
66.3,87.1,9,7,1
29.0,22.2,3,21,0
78.9,82.9,11,0,1
74.3,84.4,16,3,1
71.1,91.5,0,10,1
29.2,42.3,1,18,0
76.4,69.3,5,4,1
35.4,16.7,10,24,0
78.0,83.1,8,13,1
29.1,25.7,0,0,0
87.6,87.9,15,0,1
80.7,63.6,17,0,1
25.7,27.6,3,0,0
21.1,21.0,3,1,0
91.1,90.3,5,0,1
79.9,89.6,7,0,1
57.3,92.3,0,1,1
80.6,86.3,9,14,1
80.7,64.9,5,6,1
31.3,22.7,13,4,0
68.0,74.3,17,14,1
23.7,35.4,4,9,0
76.5,100.0,11,0,1
40.7,30.3,0,17,0
78.6,88.8,12,14,1
67.6,72.0,10,4,1
74.7,78.9,11,14,1
58.3,75.3,8,0,1
74.0,75.5,0,19,1
70.4,82.7,15,1,1
67.2,88.1,11,1,1
69.6,89.4,0,7,1
18.7,27.4,9,5,0
30.7,33.6,0,24,0
76.5,87.5,0,6,1
83.7,76.2,7,14,1
20.5,31.5,14,31,0
90.9,73.3,4,2,1
81.1,81.7,12,34,1
76.9,85.2,6,0,1
76.9,63.3,12,0,1
74.5,74.3,13,15,1
21.3,32.8,2,19,0
70.1,74.3,16,0,1
26.9,17.6,5,22,0
75.6,78.3,0,4,1
92.0,90.7,23,0,1
92.5,84.6,3,0,1
74.2,66.9,7,16,1
82.0,74.8,0,0,1
70.1,81.7,18,0,1
26.6,17.9,14,29,0
84.0,77.3,13,0,1
83.4,89.4,6,3,1
30.2,40.9,0,20,0
70.8,83.9,0,8,1
18.5,26.0,9,18,0
72.6,79.6,29,0,1
25.3,24.0,6,10,0
32.7,47.7,0,4,0
17.6,29.5,0,7,0
73.8,68.5,4,7,1
24.8,30.9,12,10,0
23.0,24.5,0,13,0
78.5,86.2,12,16,1
32.6,18.1,0,22,0
78.5,59.7,13,4,1
30.1,40.6,4,21,0
71.9,79.0,5,0,1
22.9,28.4,1,15,0
76.4,100.0,11,0,1
25.9,35.8,6,17,0
27.3,46.6,9,12,0
23.3,41.9,3,12,0
25.4,30.3,0,10,0
82.1,94.6,5,9,1
86.7,88.0,10,17,1
75.2,84.4,0,12,1
43.5,15.1,7,2,0
5.0,48.3,0,2,0
72.3,83.0,7,7,1
83.2,96.7,0,0,1
58.3,93.8,6,5,1
26.3,33.5,0,26,0
25.0,36.7,3,14,0
69.3,84.2,11,4,1
28.3,45.0,0,5,0
23.9,37.6,15,26,0
19.4,27.4,0,3,0
70.1,79.4,11,6,1
72.6,59.2,5,2,1
27.1,37.1,3,24,0
79.4,78.0,7,6,1
78.0,72.8,1,12,1
77.8,67.5,9,1,1
61.2,74.6,18,0,1
24.5,20.3,0,15,0
14.0,22.5,6,19,0
30.6,27.3,11,18,0
34.5,35.7,5,24,0
65.6,72.8,13,0,1
28.0,25.2,3,14,0
86.4,87.4,16,13,1
70.0,92.3,4,0,1
31.2,25.6,0,15,0
25.6,19.7,10,11,0
78.1,88.7,24,11,1
60.0,85.0,3,0,1
20.8,38.4,0,4,0
25.8,23.8,2,19,0
25.5,14.2,0,14,0
23.0,20.0,15,4,0
71.9,83.1,9,0,1
9.2,36.0,0,17,0
34.6,28.7,2,8,0
82.6,77.1,0,0,1
21.2,34.3,0,11,0
40.2,29.5,0,3,0
70.1,82.9,10,0,1
83.7,77.0,8,0,1
17.8,24.8,0,26,0
19.7,37.9,1,9,0
82.6,71.8,12,1,1
78.4,80.2,3,7,1
79.6,65.7,5,5,1
31.7,34.4,0,12,0
71.4,90.1,4,6,1
71.3,78.7,5,0,1
9.1,33.0,12,5,0
72.3,82.7,20,10,1
82.1,88.3,0,0,1
94.3,86.3,8,1,1
12.9,40.9,15,13,0
62.8,84.1,13,3,1
78.7,69.1,15,0,1
19.1,39.9,11,20,0
29.3,22.8,2,15,0
63.4,79.9,0,6,1
80.6,86.8,6,2,1
18.9,18.6,0,6,0
7.9,55.1,10,17,0
77.4,67.9,20,0,1
24.8,22.9,1,9,0
20.3,36.8,5,9,0
22.4,23.6,11,15,0
73.2,91.9,0,0,1
31.9,25.3,1,17,0
69.3,86.8,21,12,1
73.1,86.0,11,5,1
66.3,73.7,5,0,1
87.9,77.4,19,0,1
79.6,69.8,0,5,1
77.6,91.6,15,0,1
27.1,22.8,7,2,0
41.5,44.0,0,23,0
90.2,72.4,1,9,1
16.6,34.3,11,21,0
27.0,37.9,15,23,0
18.1,26.9,10,10,0
29.0,28.9,7,27,0
20.1,26.9,4,18,0
79.0,75.7,18,0,1
32.8,33.4,0,29,0
89.1,80.0,0,7,1
74.2,65.8,7,0,1
20.4,25.6,2,11,0
34.8,34.7,0,7,0
32.1,29.4,1,41,0
19.3,37.2,0,25,0
72.1,74.8,14,2,1
23.7,26.6,0,2,0
77.6,70.8,9,0,1
78.5,83.8,2,0,1
16.8,35.7,4,10,0
73.9,82.5,4,14,1
80.4,89.5,0,6,1
16.5,33.4,1,23,0
70.0,77.7,19,0,1
80.0,87.1,3,4,1
61.8,72.3,7,4,1
81.7,81.7,0,0,1
25.4,38.8,0,27,0
18.4,30.7,0,0,0
18.0,23.4,0,18,0
20.6,33.2,2,24,0
78.6,72.1,8,7,1
70.0,84.7,12,12,1
30.2,31.6,2,12,0
12.5,25.8,8,5,0
69.4,76.7,4,4,1
29.2,32.4,4,18,0
76.7,76.1,14,0,1
58.9,81.2,14,2,1
23.0,27.8,0,15,0
83.8,75.0,0,1,1
83.7,69.5,13,14,1
17.0,20.3,11,21,0
61.7,75.8,2,9,1
23.7,33.2,17,16,0
69.2,86.0,6,2,1
26.0,34.1,8,6,0
18.3,25.2,0,11,0
19.3,15.1,1,14,0
23.2,35.7,6,14,0
62.7,74.9,13,0,1
58.4,77.4,21,6,1
70.2,78.2,0,0,1
26.1,28.8,8,23,0
18.4,25.5,8,20,0
61.2,92.0,8,7,1
71.7,87.3,12,6,1
21.9,22.6,15,12,0
22.2,27.2,0,32,0
24.8,39.4,6,12,0
30.6,33.1,9,20,0
37.8,23.2,0,0,0
20.1,27.6,0,16,0
17.0,23.9,2,17,0
68.5,71.1,10,5,1
14.0,17.1,14,13,0
92.3,89.5,10,11,1
72.1,74.2,11,5,1
82.0,87.1,2,3,1
27.7,26.7,7,33,0
19.6,34.9,10,22,0
78.6,65.0,0,1,1
78.5,83.2,18,0,1
34.5,20.2,7,21,0
26.4,19.3,5,20,0
71.0,69.0,11,3,1
31.1,39.8,1,13,0
76.8,80.1,0,13,1
32.0,19.2,3,31,0
71.6,84.7,0,7,1
89.4,78.5,14,0,1
25.8,34.8,0,32,0
73.8,77.4,0,0,1
23.9,36.5,8,1,0
27.3,27.9,7,11,0
75.3,72.0,14,0,1
66.6,86.1,19,9,1
68.6,79.5,18,0,1
81.9,78.1,8,0,1
79.0,60.1,0,16,1
70.6,79.0,21,0,1
31.5,40.8,1,23,0
66.9,75.9,20,8,1
38.4,33.4,0,15,0
78.6,73.4,9,6,1
82.1,76.4,4,5,1
20.8,25.4,0,0,0
68.8,72.5,15,1,1
24.6,35.4,0,18,0
81.3,76.6,11,7,1
18.7,19.4,0,19,0
78.8,84.0,16,25,1
32.5,25.9,3,11,0
32.6,34.1,8,19,0
12.8,40.1,0,35,0
30.8,27.0,16,12,0
24.4,16.7,5,17,0
85.1,73.2,12,5,1
28.3,16.4,10,19,0
22.8,35.7,14,16,0
100.0,98.5,7,2,1
77.1,75.7,0,0,1
71.0,82.1,10,1,1
10.8,42.0,7,15,0
16.2,12.8,5,35,0
67.3,83.8,20,6,1
26.5,30.4,0,21,0
33.9,21.7,7,7,0
27.8,33.9,7,24,0
20.2,33.8,0,17,0
67.3,93.0,6,16,1
78.3,73.1,19,9,1
27.6,28.8,0,2,0
79.0,68.8,11,0,1
79.4,82.7,11,0,1
81.3,73.7,2,12,1
64.2,76.7,8,4,1
71.4,78.3,7,2,1
18.7,33.8,17,26,0
76.1,88.0,0,4,1
27.5,26.9,4,12,0
26.8,37.5,0,1,0
24.6,31.9,0,18,0
79.3,89.8,3,7,1
19.8,26.1,0,8,0
30.5,26.8,4,15,0
80.7,85.7,12,3,1
65.9,86.6,7,4,1
63.3,76.0,16,7,1
23.6,37.1,7,2,0
32.0,31.5,20,9,0
90.4,73.8,0,0,1
86.6,94.5,0,0,1
25.7,41.8,0,13,0
71.5,79.5,25,1,1
71.1,75.1,12,0,1
78.7,92.2,0,17,1
74.8,78.6,10,0,1
15.5,32.5,7,18,0
21.3,29.2,23,3,0
26.5,32.0,0,8,0
78.3,91.2,13,0,1
30.8,21.0,0,19,0
26.4,41.1,9,2,0
20.1,29.7,0,9,0
30.1,34.0,0,11,0
75.7,73.5,1,7,1
19.3,35.4,0,17,0
77.1,70.1,11,2,1
76.6,73.9,0,8,1
26.7,20.0,3,18,0
24.7,20.7,11,21,0
18.4,27.4,5,10,0
29.4,28.4,0,24,0
66.0,72.7,16,5,1
20.0,44.5,8,11,0
30.9,27.7,3,19,0
27.4,24.0,0,24,0
25.4,23.4,4,15,0
20.0,31.6,0,4,0
23.2,27.8,4,22,0
69.2,82.9,0,8,1
27.3,19.1,6,15,0
12.4,37.2,0,16,0
33.6,21.8,3,9,0
17.1,37.5,0,13,0
84.5,83.8,6,0,1
18.8,28.1,0,16,0
32.4,27.7,4,18,0
67.1,77.7,18,10,1
50.8,81.5,22,13,1
81.7,75.1,4,0,1
24.1,28.2,7,21,0
23.9,22.2,11,14,0
20.6,30.9,0,18,0
62.5,92.0,5,1,1
88.3,92.2,14,17,1
24.7,42.5,0,22,0
16.3,26.7,0,13,0
83.8,75.5,1,4,1
15.4,27.3,0,10,0
20.9,41.3,20,12,0
77.6,79.9,1,10,1
25.1,41.6,0,37,0
84.9,76.8,17,8,1
27.6,28.0,0,2,0
15.3,34.8,14,25,0
27.1,36.3,0,4,0
26.9,36.2,0,24,0
25.1,29.8,4,14,0
72.4,84.8,4,2,1
80.4,73.5,8,2,1
81.5,79.6,7,0,1
80.1,88.5,11,4,1
25.6,24.6,10,14,0
31.3,33.4,0,15,0
80.1,81.0,7,0,1
26.3,40.5,0,24,0
24.4,32.7,4,22,0
22.5,36.2,12,26,0
22.0,28.4,0,7,0
74.4,79.4,24,0,1
69.3,69.9,6,1,1
80.3,87.5,0,0,1
17.1,34.0,0,9,0
23.9,30.1,0,20,0
19.9,39.5,13,10,0
74.6,93.6,18,3,1
84.6,81.1,0,0,1
15.4,31.1,16,33,0
15.5,37.4,10,10,0
10.6,17.3,4,19,0
75.2,81.8,0,0,1
87.7,84.6,19,0,1
74.6,76.6,3,6,1
71.1,77.2,2,0,1
30.5,27.5,5,14,0
21.5,29.1,1,12,0
37.1,35.0,0,30,0
71.3,78.8,7,0,1
73.5,82.5,8,13,1
27.9,34.5,11,23,0
75.1,72.4,5,8,1
3.8,38.7,12,0,0
20.4,34.7,15,18,0
15.0,41.6,1,24,0
74.3,78.1,17,4,1
25.0,20.7,14,22,0
24.8,32.2,0,18,0
81.9,81.1,0,0,1
73.9,85.9,0,14,1
27.2,19.8,0,23,0
25.4,24.8,19,20,0
27.9,44.7,0,12,0
18.9,15.6,0,15,0
22.8,22.2,0,18,0
25.8,29.5,0,13,0
13.7,29.3,0,21,0
75.8,84.7,24,0,1
82.7,80.4,10,12,1
16.1,44.0,9,25,0
78.3,83.7,8,7,1
71.0,78.5,0,3,1
60.4,70.2,0,2,1
73.6,85.3,9,13,1
19.3,30.9,0,27,0
72.4,81.2,15,0,1
82.6,81.9,0,1,1
34.3,30.1,0,19,0
64.2,69.4,12,7,1
86.0,82.5,13,15,1
77.7,72.5,10,0,1
90.7,80.0,16,14,1
27.1,29.4,0,15,0
21.4,41.6,15,11,0
24.8,27.6,8,2,0
7.6,36.8,0,14,0
91.7,71.9,5,6,1
17.0,24.6,6,16,0
74.2,76.7,0,8,1
77.3,72.1,1,13,1
91.5,71.0,12,0,1
39.1,33.2,0,22,0
78.1,75.9,8,0,1
71.5,76.2,10,7,1
65.4,61.5,15,0,1
70.2,91.4,22,11,1
79.7,74.1,0,5,1
71.4,73.7,8,1,1
34.7,42.2,10,12,0
73.9,86.6,5,0,1
18.3,33.8,0,20,0
33.8,39.5,7,6,0
26.9,14.7,0,11,0
26.6,39.2,0,15,0
70.6,70.2,4,2,1
51.7,77.0,0,0,1
75.6,69.7,2,0,1
72.1,69.4,5,5,1
75.6,63.0,12,0,1
59.4,81.1,0,9,1
28.5,37.2,0,7,0
72.2,92.5,1,15,1
79.2,79.2,26,10,1
23.6,26.4,8,23,0
69.1,76.1,18,16,1
86.1,85.7,11,6,1
23.5,29.0,2,14,0
76.8,85.5,0,17,1
12.2,25.2,2,15,0
24.7,35.5,2,15,0
37.4,30.9,11,16,0
71.0,79.3,11,0,1
25.9,35.3,15,5,0
62.1,81.5,24,3,1
27.5,16.3,0,21,0
15.6,39.5,0,17,0
73.9,82.7,16,10,1
32.2,32.5,9,20,0
72.0,81.1,0,6,1
80.4,70.8,13,7,1
15.4,33.6,12,10,0
31.0,33.0,12,20,0
80.5,78.3,17,22,1
70.4,81.9,12,7,1
78.7,75.6,11,0,1
41.6,22.6,0,13,0
29.5,38.6,9,19,0
14.4,44.7,11,11,0
19.8,20.2,2,9,0
37.9,33.6,0,23,0
73.6,67.6,4,1,1
89.8,81.8,5,0,1
80.0,70.9,16,2,1
75.0,84.8,0,0,1
65.6,81.4,13,15,1
22.4,28.0,13,19,0
29.2,25.4,2,32,0
16.6,14.3,18,6,0
88.4,90.7,0,10,1
24.8,34.4,4,26,0
19.9,38.2,0,12,0
73.6,83.2,14,9,1
80.4,77.6,5,9,1
26.3,30.0,5,25,0
76.9,73.9,0,13,1
21.5,31.0,14,4,0
78.9,84.6,10,2,1
17.2,38.4,0,36,0
27.6,28.2,9,0,0
82.8,87.3,0,3,1
65.8,66.5,0,0,1
24.0,14.9,0,16,0
30.0,27.0,5,15,0
14.0,24.2,2,29,0
80.4,78.9,4,0,1
39.8,21.4,0,9,0
17.2,19.0,0,22,0
45.2,25.8,0,23,0
75.1,87.2,1,15,1
28.2,29.8,0,18,0
13.7,26.6,0,9,0
73.2,91.6,0,9,1
30.9,31.4,1,13,0
91.0,100.0,13,2,1
90.2,93.0,26,2,1
82.5,78.1,17,0,1
79.5,69.3,12,0,1
10.0,27.2,2,28,0
66.1,79.7,4,0,1
25.5,32.1,14,19,0
35.5,29.1,0,10,0
39.9,33.8,0,20,0
83.3,84.7,7,8,1
68.6,83.4,18,0,1
72.3,81.4,0,1,1
28.2,24.8,0,20,0
69.1,80.7,12,15,1
8.3,43.6,4,14,0
23.9,20.2,0,8,0
70.9,78.4,6,0,1
22.3,27.0,0,9,0
72.8,72.3,12,0,1
84.4,81.1,9,7,1
16.5,27.6,0,14,0
32.6,32.3,0,18,0
77.1,75.3,0,2,1
28.4,35.5,3,12,0
75.6,76.7,7,3,1
77.4,81.4,0,0,1
36.1,34.5,2,5,0
20.1,18.7,0,4,0
41.6,24.5,16,17,0
31.1,22.6,9,26,0
21.2,28.5,0,5,0
36.6,31.6,10,3,0
83.1,73.2,0,2,1
38.1,20.8,4,9,0
90.0,83.1,1,7,1
72.8,69.8,12,0,1
27.0,33.7,11,16,0
80.5,69.1,18,5,1
76.3,84.0,17,15,1
79.4,85.0,2,8,1
33.5,15.9,0,0,0
80.5,76.9,16,8,1
19.8,26.1,0,18,0
39.4,35.1,0,20,0
71.4,81.5,13,0,1
75.6,85.9,12,0,1
24.9,27.7,5,8,0
28.2,35.2,0,28,0
68.8,90.6,0,10,1
29.3,36.1,0,0,0
27.7,15.9,5,12,0
26.4,28.5,2,18,0
26.6,27.2,5,13,0
17.4,33.4,19,6,0
16.9,32.5,0,4,0
14.6,35.4,5,7,0
85.4,71.1,5,2,1
63.9,67.2,0,4,1
68.1,80.2,0,10,1
73.5,77.1,7,14,1
65.8,66.0,5,4,1
21.1,26.5,5,12,0
66.3,86.7,15,0,1
67.5,74.7,10,2,1
38.4,25.6,7,28,0
36.2,37.4,2,10,0
32.0,34.0,3,18,0
25.6,14.0,9,18,0
80.6,70.9,7,0,1
68.4,75.1,4,0,1
37.4,22.0,10,13,0
75.1,63.3,9,21,1
32.7,33.3,9,30,0
80.6,78.1,0,13,1
69.2,81.4,4,1,1
81.2,79.7,5,0,1
80.4,71.4,0,10,1
22.3,43.4,0,3,0
22.8,21.1,23,15,0
30.3,46.1,1,9,0
10.3,19.8,0,15,0
30.1,37.8,7,2,0
34.3,32.0,5,12,0
12.5,34.8,0,29,0
24.2,28.6,3,24,0
84.9,83.0,0,1,1
64.0,82.8,0,3,1
24.3,50.6,0,28,0
79.5,73.0,24,0,1
87.6,71.9,2,0,1
76.8,87.2,6,13,1
62.9,77.1,15,8,1
19.3,28.3,4,27,0
77.5,77.3,7,0,1
70.6,86.9,5,3,1
21.1,22.4,3,28,0
70.9,80.3,0,0,1
70.3,70.6,6,20,1
16.6,21.5,10,29,0
82.2,83.6,17,0,1
67.3,72.3,11,3,1
27.9,26.9,2,25,0
27.0,42.6,1,17,0
77.2,62.9,16,2,1
54.8,77.6,10,0,1
73.2,72.0,0,1,1
29.9,21.8,0,2,0
19.9,25.8,0,11,0
19.9,19.4,15,23,0
87.9,86.6,17,0,1
7.8,24.2,0,7,0
83.4,72.0,5,5,1
93.3,75.1,0,0,1
24.1,33.6,0,6,0
21.5,22.9,1,29,0
77.6,81.6,0,5,1
34.6,17.8,0,18,0
76.1,86.8,14,8,1
69.1,95.1,8,9,1
73.5,67.0,18,9,1
70.1,83.6,4,0,1
78.2,81.0,7,0,1
27.4,32.1,2,13,0
64.5,86.2,0,0,1
77.1,90.2,14,5,1
72.4,81.2,1,20,1
86.4,68.2,3,6,1
25.9,31.2,0,15,0
38.0,19.0,0,15,0
80.6,83.4,12,0,1
24.5,32.6,5,18,0
29.4,22.3,3,4,0
73.1,80.4,1,12,1
74.5,84.3,0,2,1
33.0,23.9,0,27,0
84.6,76.3,5,12,1
88.4,72.4,0,12,1
75.7,82.0,7,5,1
67.9,84.1,8,0,1
27.9,24.8,5,27,0
26.0,34.4,2,29,0
76.5,83.4,10,13,1
82.1,86.1,8,6,1
19.6,31.9,4,9,0
22.0,38.7,17,27,0
21.2,38.7,3,6,0
73.2,96.4,3,0,1
26.6,25.2,3,12,0
23.2,30.2,4,0,0
84.5,69.9,14,8,1
